jvm,seed,model,method,draws,nanos,covered,precision,error
0,0,0,0,31200,27423000,true,true,0.019997314923989207
0,0,0,1,21900,166092900,true,true,0.019981617777748595
0,0,1,0,31200,15239100,true,true,0.019997314923989158
0,0,1,1,500,2443300,true,true,0.01695286080233314
0,0,2,0,31200,15975200,true,true,0.019997314923989207
0,0,2,1,500,2932100,true,true,0.016649423766040006
0,0,3,0,31200,100791400,true,true,0.019997314923989262
0,0,3,1,500,4669800,true,true,0.016635938797892214
0,1,0,1,22200,105136100,true,true,0.019971456419683897
0,1,0,0,31200,4618500,true,true,0.019997314923989262
0,1,1,1,500,971300,true,true,0.019258740607810257
0,1,1,0,31200,3887200,true,true,0.019997314923989155
0,1,2,1,500,2433500,true,true,0.016648972611980395
0,1,2,0,31200,11816700,true,true,0.019997314923989207
0,1,3,1,500,3260500,true,true,0.01663593159187332
0,1,3,0,31200,81493300,true,true,0.019997314923989207
0,2,0,0,31200,4459300,true,true,0.019997314923989207
0,2,0,1,21900,90574500,true,true,0.019995433611862956
0,2,1,0,31200,3729300,true,true,0.019997314923989155
0,2,1,1,500,787400,true,true,0.01695286080233314
0,2,2,0,31200,9204000,true,true,0.019997314923989207
0,2,2,1,500,1478200,true,true,0.016649980124603503
0,2,3,0,31200,74013000,true,true,0.019997314923989207
0,2,3,1,500,2637800,true,true,0.01663594333871793
0,3,0,1,21500,60382700,true,true,0.01996891533956585
0,3,0,0,31200,3405100,true,true,0.019997314923989207
0,3,1,1,500,755100,true,true,0.017724732147099593
0,3,1,0,31200,3649900,true,true,0.019997314923989155
0,3,2,1,500,2100300,true,true,0.01664823219856798
0,3,2,0,31200,8052800,true,true,0.019997314923989262
0,3,3,1,500,2937700,true,true,0.01663592336186881
0,3,3,0,31200,84087500,true,true,0.019997314923989262
0,4,0,0,31200,7781100,true,true,0.019997314923989207
0,4,0,1,21900,72713300,true,true,0.019987217733080598
0,4,1,0,31200,3325400,true,true,0.019997314923989155
0,4,1,1,500,696700,true,true,0.01695286080233314
0,4,2,0,31200,7236700,true,true,0.019997314923989262
0,4,2,1,500,1386700,true,true,0.016648844305329202
0,4,3,0,31200,72975200,true,true,0.019997314923989207
0,4,3,1,500,2530500,true,true,0.016635915962367687
0,5,0,1,21800,57492200,true,true,0.019994782339531836
0,5,0,0,31200,3230000,true,true,0.019997314923989207
0,5,1,1,500,616600,true,true,0.017724020168585375
0,5,1,0,31200,3033600,true,true,0.019997314923989155
0,5,2,1,500,1453200,true,true,0.0166494379531823
0,5,2,0,31200,7238400,true,true,0.019997314923989207
0,5,3,1,500,2325300,true,true,0.01663593772763905
0,5,3,0,31200,72559200,true,true,0.019997314923989207
0,6,0,0,31200,3194400,true,true,0.019997314923989262
0,6,0,1,21800,55944700,true,true,0.01997576840336368
0,6,1,0,31200,3093100,true,true,0.019997314923989155
0,6,1,1,500,581000,true,true,0.01695286080233314
0,6,2,0,31200,7384300,true,true,0.019997314923989207
0,6,2,1,500,1346000,true,true,0.016648810577706175
0,6,3,0,31200,72188200,true,true,0.019997314923989262
0,6,3,1,500,2306200,true,true,0.016635924345446806
0,7,0,1,22000,57133900,true,true,0.019994589711548327
0,7,0,0,31200,3211000,true,true,0.019997314923989207
0,7,1,1,500,556100,true,true,0.01695286080233314
0,7,1,0,31200,3024300,true,true,0.019997314923989155
0,7,2,1,500,1291400,true,true,0.01664945128307993
0,7,2,0,31200,7478500,true,true,0.019997314923989207
0,7,3,1,500,2261100,true,true,0.016635932902862527
0,7,3,0,31200,71342600,true,true,0.019997314923989207
0,8,0,0,31200,3216000,true,true,0.019997314923989207
0,8,0,1,22100,56560300,true,true,0.019991666184780876
0,8,1,0,31200,2737500,true,true,0.019997314923989155
0,8,1,1,500,660900,true,true,0.01695286080233314
0,8,2,0,31200,7324000,true,true,0.019997314923989262
0,8,2,1,500,1451300,true,true,0.016648967558825722
0,8,3,0,31200,71867800,true,true,0.019997314923989207
0,8,3,1,500,2435000,true,true,0.016635930820200873
0,9,0,1,21700,65493300,true,true,0.019967213555354912
0,9,0,0,31200,3263000,true,true,0.019997314923989207
0,9,1,1,500,621400,true,true,0.017727727283136163
0,9,1,0,31200,2579200,true,true,0.019997314923989158
0,9,2,1,500,1777400,true,true,0.01664919161329448
0,9,2,0,31200,7627100,true,true,0.019997314923989207
0,9,3,1,500,2296400,true,true,0.016635934278393272
0,9,3,0,31200,74799400,true,true,0.019997314923989207
0,10,0,0,31200,3256300,true,true,0.019997314923989207
0,10,0,1,21800,64995600,true,true,0.01997320676497738
0,10,1,0,31200,2599100,true,true,0.019997314923989158
0,10,1,1,500,575700,true,true,0.01695286080233314
0,10,2,0,31200,7287800,true,true,0.019997314923989207
0,10,2,1,500,1344400,true,true,0.01664919275668958
0,10,3,0,31200,73254100,true,true,0.019997314923989262
0,10,3,1,500,2317400,true,true,0.01663593503772831
0,11,0,1,21600,58111300,true,true,0.019998663260863192
0,11,0,0,31200,3759400,true,true,0.019997314923989262
0,11,1,1,500,629300,true,true,0.01773502532090454
0,11,1,0,31200,2540800,true,true,0.019997314923989158
0,11,2,1,500,1291300,true,true,0.016648358188694812
0,11,2,0,31200,6999500,true,true,0.019997314923989207
0,11,3,1,500,2458500,true,true,0.016635927749212465
0,11,3,0,31200,71725900,true,true,0.019997314923989207
0,12,0,0,31200,3105400,true,true,0.019997314923989262
0,12,0,1,22100,57236300,true,true,0.01998938348429058
0,12,1,0,31200,3013500,true,true,0.019997314923989155
0,12,1,1,500,618800,true,true,0.0185078285816393
0,12,2,0,31200,7218300,true,true,0.019997314923989207
0,12,2,1,500,1252200,true,true,0.016649107098264393
0,12,3,0,31200,72065100,true,true,0.019997314923989262
0,12,3,1,500,2504200,true,true,0.01663593457578849
0,13,0,1,22000,59158600,true,true,0.019985706761631694
0,13,0,0,31200,3243600,true,true,0.019997314923989207
0,13,1,1,500,604400,true,true,0.01772511166069866
0,13,1,0,31200,2823400,true,true,0.019997314923989155
0,13,2,1,500,1277100,true,true,0.016649079798015887
0,13,2,0,31200,7134800,true,true,0.019997314923989207
0,13,3,1,500,2310000,true,true,0.016635935524640044
0,13,3,0,31200,72184900,true,true,0.019997314923989207
0,14,0,0,31200,3027600,true,true,0.019997314923989262
0,14,0,1,21900,54861200,true,true,0.019988312652659435
0,14,1,0,31200,2660800,true,true,0.019997314923989155
0,14,1,1,500,562700,true,true,0.01695286080233314
0,14,2,0,31200,7489700,true,true,0.019997314923989262
0,14,2,1,500,1276000,true,true,0.016648032931536216
0,14,3,0,31200,71652900,true,true,0.019997314923989207
0,14,3,1,500,2249300,true,true,0.01663591939829523
0,15,0,1,21900,52917400,true,true,0.019986984483568893
0,15,0,0,31200,4415000,true,true,0.019997314923989262
0,15,1,1,500,727700,true,true,0.017723932555921623
0,15,1,0,31200,2986100,true,true,0.019997314923989155
0,15,2,1,500,1278700,true,true,0.016649254108689504
0,15,2,0,31200,9807000,true,true,0.019997314923989207
0,15,3,1,500,2349400,true,true,0.016635928871943706
0,15,3,0,31200,71466700,true,true,0.019997314923989207
0,16,0,0,31200,3257100,true,true,0.019997314923989262
0,16,0,1,22100,53841200,true,true,0.019989572989013216
0,16,1,0,31200,2779100,true,true,0.019997314923989155
0,16,1,1,500,618700,true,true,0.017725322338889207
0,16,2,0,31200,6947200,true,true,0.019997314923989207
0,16,2,1,500,1290400,true,true,0.0166485158331402
0,16,3,0,31200,71469600,true,true,0.019997314923989207
0,16,3,1,500,2432100,true,true,0.01663593395089613
0,17,0,1,21900,58784100,true,true,0.01997269701510962
0,17,0,0,31200,3069300,true,true,0.019997314923989207
