GVM_AUDIT_ENV pid=29164 java=17.0.4 rounds=7 tolerance=1e-8
GVM_AUDIT_CHECK case=ordinary identical=true evaluations=712 error=3.852829166817173E-11
GVM_AUDIT_TIMING case=ordinary method=full round=0 batch=128 nsPerCall=235555.46875
GVM_AUDIT_TIMING case=ordinary method=audited round=0 batch=256 nsPerCall=84091.796875
GVM_AUDIT_TIMING case=ordinary method=audited round=1 batch=256 nsPerCall=84184.765625
GVM_AUDIT_TIMING case=ordinary method=full round=1 batch=128 nsPerCall=233447.65625
GVM_AUDIT_TIMING case=ordinary method=full round=2 batch=128 nsPerCall=245043.75
GVM_AUDIT_TIMING case=ordinary method=audited round=2 batch=256 nsPerCall=83921.484375
GVM_AUDIT_TIMING case=ordinary method=audited round=3 batch=256 nsPerCall=82410.9375
GVM_AUDIT_TIMING case=ordinary method=full round=3 batch=128 nsPerCall=230300.0
GVM_AUDIT_TIMING case=ordinary method=full round=4 batch=128 nsPerCall=245930.46875
GVM_AUDIT_TIMING case=ordinary method=audited round=4 batch=256 nsPerCall=80862.890625
GVM_AUDIT_TIMING case=ordinary method=audited round=5 batch=256 nsPerCall=80785.9375
GVM_AUDIT_TIMING case=ordinary method=full round=5 batch=128 nsPerCall=227095.3125
GVM_AUDIT_TIMING case=ordinary method=full round=6 batch=128 nsPerCall=251359.375
GVM_AUDIT_TIMING case=ordinary method=audited round=6 batch=256 nsPerCall=93987.109375
GVM_AUDIT_CHECK case=opposed identical=true evaluations=764 error=2.9810109936079243E-10
GVM_AUDIT_TIMING case=opposed method=full round=0 batch=128 nsPerCall=235635.9375
GVM_AUDIT_TIMING case=opposed method=audited round=0 batch=512 nsPerCall=80082.6171875
GVM_AUDIT_TIMING case=opposed method=audited round=1 batch=512 nsPerCall=76588.0859375
GVM_AUDIT_TIMING case=opposed method=full round=1 batch=128 nsPerCall=239097.65625
GVM_AUDIT_TIMING case=opposed method=full round=2 batch=128 nsPerCall=248964.84375
GVM_AUDIT_TIMING case=opposed method=audited round=2 batch=512 nsPerCall=77720.3125
GVM_AUDIT_TIMING case=opposed method=audited round=3 batch=512 nsPerCall=75718.75
GVM_AUDIT_TIMING case=opposed method=full round=3 batch=128 nsPerCall=244535.15625
GVM_AUDIT_TIMING case=opposed method=full round=4 batch=128 nsPerCall=235454.6875
GVM_AUDIT_TIMING case=opposed method=audited round=4 batch=512 nsPerCall=75504.8828125
GVM_AUDIT_TIMING case=opposed method=audited round=5 batch=512 nsPerCall=77923.828125
GVM_AUDIT_TIMING case=opposed method=full round=5 batch=128 nsPerCall=236972.65625
GVM_AUDIT_TIMING case=opposed method=full round=6 batch=128 nsPerCall=234439.0625
GVM_AUDIT_TIMING case=opposed method=audited round=6 batch=512 nsPerCall=77847.8515625
GVM_AUDIT_CHECK case=curved identical=true evaluations=25098 error=7.69628805130651E-11
GVM_AUDIT_TIMING case=curved method=full round=0 batch=1 nsPerCall=2.54947E7
GVM_AUDIT_TIMING case=curved method=audited round=0 batch=8 nsPerCall=3206412.5
GVM_AUDIT_TIMING case=curved method=audited round=1 batch=8 nsPerCall=3207562.5
GVM_AUDIT_TIMING case=curved method=full round=1 batch=1 nsPerCall=2.65999E7
GVM_AUDIT_TIMING case=curved method=full round=2 batch=1 nsPerCall=2.61787E7
GVM_AUDIT_TIMING case=curved method=audited round=2 batch=8 nsPerCall=3183725.0
