jvm,seed,model,draws,method,mean,truth,ess,nanos,heap_delta
0,0,0,2000,0,0.49557673317536,0.5,1483.999834413575,37115300,16777216
0,0,0,2000,1,0.50373102734628,0.5,1479.6373190959553,7224600,4194304
0,0,0,2000,2,0.50373102734628,0.5,1479.6373190959553,4416200,0
0,0,0,2000,3,0.50373102734628,0.5,1479.6373190959553,4303600,4194304
0,0,0,20000,0,0.4974411011333865,0.5,14638.115936951406,190049500,-667854232
0,0,0,20000,1,0.507144495168095,0.5,14759.018173396658,13217000,12582912
0,0,0,20000,2,0.507144495168095,0.5,14759.018173396658,21200300,12582912
0,0,0,20000,3,0.507144495168095,0.5,14759.018173396658,18219500,12582912
0,0,1,2000,0,0.9872085553387954,0.9900990099009901,180.7335182491474,17566300,16777216
0,0,1,2000,1,0.9946849294380982,0.9900990099009901,179.5648788857563,1481800,4194304
0,0,1,2000,2,0.9946849294380982,0.9900990099009901,179.5648788857563,2284300,0
0,0,1,2000,3,0.9946849294380982,0.9900990099009901,179.5648788857563,2099400,4194304
0,0,1,20000,0,0.9861927269593268,0.9900990099009901,1719.6917238360024,106647500,150994944
0,0,1,20000,1,0.9898101136716773,0.9900990099009901,1741.2182190439826,8602900,12582912
0,0,1,20000,2,0.9898101136716773,0.9900990099009901,1741.2182190439826,7907100,12582912
0,0,1,20000,3,0.9898101136716773,0.9900990099009901,1741.2182190439826,7527200,12582912
0,0,2,2000,0,0.49252225446891956,0.49679988368583794,1489.5756833838605,81908700,62914560
0,0,2,2000,1,0.5005747189893939,0.49679988368583794,1485.2885258183135,10562800,4194304
0,0,2,2000,2,0.5005747189893939,0.49679988368583794,1485.2885258183135,14233700,0
0,0,2,2000,3,0.5005747189893939,0.49679988368583794,1485.2885258183135,10890400,4194304
0,0,2,20000,0,0.4941971903520817,0.49679988368583794,14695.781307608037,206855000,-65554704
0,0,2,20000,1,0.5039833445137045,0.49679988368583794,14815.722162872124,11828700,12582912
0,0,2,20000,2,0.5039833445137045,0.49679988368583794,14815.722162872124,9884700,8388608
0,0,2,20000,3,0.5039833445137045,0.49679988368583794,14815.722162872124,7402400,16777216
0,1,0,2000,3,0.49833476011728506,0.5,1451.651673672513,1065100,0
0,1,0,2000,2,0.49833476011728506,0.5,1451.651673672513,1072500,4194304
0,1,0,2000,1,0.49833476011728506,0.5,1451.651673672513,862900,0
0,1,0,2000,0,0.4998406661460387,0.5,1451.9272145276957,8377600,16777216
0,1,0,20000,3,0.5030571219272437,0.5,14662.854958246624,5691800,12582912
0,1,0,20000,2,0.5030571219272437,0.5,14662.854958246624,4933000,12582912
0,1,0,20000,1,0.5030571219272437,0.5,14662.854958246624,4894900,8388608
0,1,0,20000,0,0.5089465764105521,0.5,14671.025039626962,42174100,150994944
0,1,1,2000,3,0.989352506383413,0.9900990099009901,170.5556728410318,1602700,4194304
0,1,1,2000,2,0.989352506383413,0.9900990099009901,170.5556728410318,986900,0
0,1,1,2000,1,0.989352506383413,0.9900990099009901,170.5556728410318,694300,4194304
0,1,1,2000,0,0.9962865683188258,0.9900990099009901,166.90177912867208,7083300,12582912
0,1,1,20000,3,0.9915291897046976,0.9900990099009901,1682.7628196823105,5022800,16777216
0,1,1,20000,2,0.9915291897046976,0.9900990099009901,1682.7628196823105,4604800,8388608
0,1,1,20000,1,0.9915291897046976,0.9900990099009901,1682.7628196823105,5138800,12582912
0,1,1,20000,0,0.9928618822344562,0.9900990099009901,1782.608557052126,51866900,-618522336
0,1,2,2000,3,0.495085771379185,0.49679988368583794,1457.493850750301,1812600,4194304
0,1,2,2000,2,0.495085771379185,0.49679988368583794,1457.493850750301,1313300,4194304
0,1,2,2000,1,0.495085771379185,0.49679988368583794,1457.493850750301,1390000,0
0,1,2,2000,0,0.4964610476146426,0.49679988368583794,1457.8451467107996,21958900,83886080
0,1,2,20000,3,0.4998405447301294,0.49679988368583794,14719.953091973313,7632500,12582912
0,1,2,20000,2,0.4998405447301294,0.49679988368583794,14719.953091973313,7919000,12582912
0,1,2,20000,1,0.4998405447301294,0.49679988368583794,14719.953091973313,11933700,12582912
0,1,2,20000,0,0.5057429651415495,0.49679988368583794,14728.06161440678,206269500,41433216
0,2,0,2000,0,0.5012260829982775,0.5,1456.9982430720286,6971500,12582912
0,2,0,2000,1,0.48389318805950415,0.5,1464.6074874231551,830500,4194304
0,2,0,2000,2,0.48389318805950415,0.5,1464.6074874231551,1354200,4194304
0,2,0,2000,3,0.48389318805950415,0.5,1464.6074874231551,1056800,4194304
0,2,0,20000,0,0.503727998951877,0.5,14688.808691813023,41790400,146800640
0,2,0,20000,1,0.5008169838184251,0.5,14700.5590809097,5259400,12582912
0,2,0,20000,2,0.5008169838184251,0.5,14700.5590809097,5135700,12582912
0,2,0,20000,3,0.5008169838184251,0.5,14700.5590809097,5022700,16777216
0,2,1,2000,0,0.9965619113212206,0.9900990099009901,176.37080850272946,5878200,16777216
0,2,1,2000,1,0.9900932545964772,0.9900990099009901,171.68286045825948,748700,0
0,2,1,2000,2,0.9900932545964772,0.9900990099009901,171.68286045825948,1082500,4194304
0,2,1,2000,3,0.9900932545964772,0.9900990099009901,171.68286045825948,1013400,4194304
0,2,1,20000,0,0.9899446067025445,0.9900990099009901,1670.1393814916107,40346100,146800640
0,2,1,20000,1,0.9892748325019171,0.9900990099009901,1722.9002074836183,6571500,12582912
0,2,1,20000,2,0.9892748325019171,0.9900990099009901,1722.9002074836183,5626400,12582912
0,2,1,20000,3,0.9892748325019171,0.9900990099009901,1722.9002074836183,7163800,16777216
0,2,2,2000,0,0.49799278186561174,0.49679988368583794,1462.7125706126874,20576800,83886080
0,2,2,2000,1,0.4806849236151901,0.49679988368583794,1470.3031944991021,1418100,0
0,2,2,2000,2,0.4806849236151901,0.49679988368583794,1470.3031944991021,1658700,4194304
0,2,2,2000,3,0.4806849236151901,0.49679988368583794,1470.3031944991021,1267200,4194304
0,2,2,20000,0,0.500607411865723,0.49679988368583794,14745.480614113636,217648300,-695863224
0,2,2,20000,1,0.4976693134049015,0.49679988368583794,14757.327665106626,10913500,12582912
0,2,2,20000,2,0.4976693134049015,0.49679988368583794,14757.327665106626,10285300,12582912
0,2,2,20000,3,0.4976693134049015,0.49679988368583794,14757.327665106626,7201300,16777216
0,3,0,2000,3,0.4938623203283447,0.5,1450.4717224325898,1200200,8388608
0,3,0,2000,2,0.4938623203283447,0.5,1450.4717224325898,965300,0
0,3,0,2000,1,0.4938623203283447,0.5,1450.4717224325898,721800,4194304
0,3,0,2000,0,0.48709671156939677,0.5,1454.4071725622919,7118300,16777216
0,3,0,20000,3,0.5066487870573754,0.5,14624.356586796239,4621100,12582912
0,3,0,20000,2,0.5066487870573754,0.5,14624.356586796239,4722800,16777216
0,3,0,20000,1,0.5066487870573754,0.5,14624.356586796239,4632200,12582912
0,3,0,20000,0,0.5055502988599472,0.5,14615.293744639619,40770800,150994944
0,3,1,2000,3,0.9864508120190085,0.9900990099009901,182.63700413311713,1814200,4194304
0,3,1,2000,2,0.9864508120190085,0.9900990099009901,182.63700413311713,980900,4194304
0,3,1,2000,1,0.9864508120190085,0.9900990099009901,182.63700413311713,687900,0
0,3,1,2000,0,0.9930227174310957,0.9900990099009901,146.65103603829394,5243900,16777216
