blocked,workload,strategy,round,seed,method,query,truth,estimate,error,fullWidth,covered,criteriaMet,reason,drawsPerChain,checks,apiSeconds,rHat,bulkEss,meanEss,meanEssPerSecond,acceptance
blocked,normal,default,0,62003,fixed,x,0.0,-0.012628943585614096,-0.012628943585614096,0.03498604005677799,true,true,FixedBudget,12000,1,0.1167622,1.0001113794655265,15119.481034926119,15112.247671616227,129427.56878181662,1.0
blocked,normal,default,0,62003,fixed,y,0.0,0.003236641851991462,0.003236641851991462,0.035025280176283424,true,true,FixedBudget,12000,1,0.1167622,1.0005814470209002,15758.160421995726,15759.96037981023,134974.8495644158,1.0
blocked,normal,default,0,62003,adaptive,x,0.0,-0.031976618369284546,-0.031976618369284546,0.086594017577602,true,true,PrecisionReached,2000,1,0.0182002,1.0014138230317227,2514.264515291463,2503.540572477546,137555.66271126395,1.0
blocked,normal,default,0,62003,adaptive,y,0.0,-0.0015736486091962876,-0.0015736486091962876,0.08610874303827191,true,true,PrecisionReached,2000,1,0.0182002,1.0008967718721316,2650.5950920706773,2640.9855564871255,145107.5019223484,1.0
blocked,normal,block,0,62003,fixed,x,0.0,0.018609890406140056,0.018609890406140056,0.05116541184167977,true,true,FixedBudget,12000,1,0.1317619,1.0007346768470011,7040.365154979123,7042.425883079973,53448.12030700812,0.357625
blocked,normal,block,0,62003,fixed,y,0.0,0.009045115933117326,0.009045115933117326,0.05361705616101403,true,true,FixedBudget,12000,1,0.1317619,1.0003064503647772,6439.691460674831,6436.190434512183,48847.12830121745,0.357625
blocked,normal,block,0,62003,adaptive,x,0.0,-0.009412831763992519,-0.009412831763992519,0.11783491394371916,true,true,PrecisionReached,2000,1,0.0233883,1.003026649291452,1265.3868996429212,1261.8781270219574,53953.392380889476,0.348125
blocked,normal,block,0,62003,adaptive,y,0.0,-0.026769154167556097,-0.026769154167556097,0.13285954315017254,true,true,PrecisionReached,2000,1,0.0233883,1.004512366154825,1062.0331070849677,1063.8771496156671,45487.57924328263,0.348125
blocked,correlated,default,0,62003,fixed,x,0.0,-0.06026995821355102,-0.06026995821355102,0.14497016505131002,true,false,FixedBudget,12000,1,0.1062015,1.0618843338342827,47.96767496881859,47.80275131184478,450.11371131146717,0.1549375
blocked,correlated,default,0,62003,fixed,y,0.0,-0.06012917724635547,-0.06012917724635547,0.1447156529708595,true,false,FixedBudget,12000,1,0.1062015,1.0619866004484275,47.76595063859516,47.535962219583105,447.6016084479325,0.1549375
blocked,correlated,default,0,62003,adaptive,x,0.0,-0.06026995821355102,-0.06026995821355102,0.14497016505131002,true,false,MaxDrawsReached,12000,6,0.320199,1.0618843338342827,47.96767496881859,47.80275131184478,149.29075765959536,0.1549375
blocked,correlated,default,0,62003,adaptive,y,0.0,-0.06012917724635547,-0.06012917724635547,0.1447156529708595,true,false,MaxDrawsReached,12000,6,0.320199,1.0619866004484275,47.76595063859516,47.535962219583105,148.4575598911399,0.1549375
blocked,correlated,joint-prior,0,62003,fixed,x,0.0,-0.0017485279217939187,-0.0017485279217939187,0.05249438189629021,true,true,FixedBudget,12000,1,0.1270256,1.0010344359184513,3403.3662938474235,3403.059899930679,26790.34698462892,0.13310416666666666
blocked,correlated,joint-prior,0,62003,fixed,y,0.0,7.617982230621045E-4,7.617982230621045E-4,0.053462322980005715,true,true,FixedBudget,12000,1,0.1270256,1.0009893832693078,3356.4553915011256,3353.702258319753,26401.78246211593,0.13310416666666666
blocked,correlated,joint-prior,0,62003,adaptive,x,0.0,-0.006649970295117269,-0.006649970295117269,0.08645734856403292,true,true,PrecisionReached,4000,2,0.0538303,1.0068322482972762,1154.430410492556,1151.8592676146757,21397.972287255983,0.13468750000000002
