target,seed,budget,method,coordinate,mean,error,mcse,ess,status,maxWeight,k,covered95,accurate,pilotCalls,pilotDraws,fallback,draws,evaluations,seconds
gamma-heldout,1000000007,20000,defensive,0,2.1348096405027697,3.622925801334276E-4,0.0023460582642902453,7278.888625125968,Danger,9.475414676736309E-4,0.8300779417707979,true,true,10000,535,false,10000,20000,0.2013882
gamma-heldout,1000000007,20000,defensive,1,1.85428149615016,-2.688466435936121E-4,0.0025325004483267135,7278.888625125968,Danger,9.475414676736309E-4,0.8300779417707979,true,true,10000,535,false,10000,20000,0.2013882
gamma-heldout,1000007926,20000,defensive,0,2.135123277272718,6.759293500815389E-4,0.0021311166425199133,6635.8875103892615,ChecksPassed,2.525579807699496E-4,-0.06404594803069943,true,true,10000,545,false,10000,20000,0.0545659
gamma-heldout,1000007926,20000,defensive,1,1.8553687631353621,8.184203416086167E-4,0.0020989414419534474,6635.8875103892615,ChecksPassed,2.525579807699496E-4,-0.06404594803069943,true,true,10000,545,false,10000,20000,0.0545659
gamma-heldout,1000015845,20000,defensive,0,2.133569454790816,-8.778931318200733E-4,0.002185065818688774,6461.975008638042,ChecksPassed,2.3591974975192086E-4,-0.9538876503707029,true,true,10000,540,false,10000,20000,0.0283557
gamma-heldout,1000015845,20000,defensive,1,1.8554842852308846,9.339424371310745E-4,0.002063984387793619,6461.975008638042,ChecksPassed,2.3591974975192086E-4,-0.9538876503707029,true,true,10000,540,false,10000,20000,0.0283557
gamma-heldout,1000023764,20000,defensive,0,2.135448023689744,0.0010006757671079392,0.0021109124049174385,6748.312617014437,ChecksPassed,2.2973991909037799E-4,-0.218006739285433,true,true,10000,531,false,10000,20000,0.0237274
gamma-heldout,1000023764,20000,defensive,1,1.8554341173861137,8.837745923602203E-4,0.002098443809588806,6748.312617014437,ChecksPassed,2.2973991909037799E-4,-0.218006739285433,true,true,10000,531,false,10000,20000,0.0237274
gamma-heldout,1000031683,20000,defensive,0,2.136796738077765,0.0023493901551288054,0.00208250477225256,5993.947668471897,ChecksPassed,2.658842681261769E-4,-0.9297405824248567,true,true,10000,535,false,10000,20000,0.0257377
gamma-heldout,1000031683,20000,defensive,1,1.8521103811612207,-0.0024399616325327944,0.002098680532492149,5993.947668471897,ChecksPassed,2.658842681261769E-4,-0.9297405824248567,true,true,10000,535,false,10000,20000,0.0257377
gamma-heldout,1000039602,20000,defensive,0,2.137092802554282,0.002645454631645894,0.0021604223397755393,7055.043012473134,Danger,5.393159362465319E-4,0.8921476747152928,true,true,10000,537,false,10000,20000,0.0239669
gamma-heldout,1000039602,20000,defensive,1,1.8525654826511437,-0.00198486014260979,0.0022710192877933946,7055.043012473134,Danger,5.393159362465319E-4,0.8921476747152928,true,true,10000,537,false,10000,20000,0.0239669
gamma-heldout,1000047521,20000,defensive,0,2.1353844704327174,9.371225100811564E-4,0.0021349256051507843,6487.12844260599,ChecksPassed,4.3797934850050343E-4,0.10799154916457186,true,true,10000,530,false,10000,20000,0.0238669
gamma-heldout,1000047521,20000,defensive,1,1.854091761430575,-4.5858136317855624E-4,0.002175531518456689,6487.12844260599,ChecksPassed,4.3797934850050343E-4,0.10799154916457186,true,true,10000,530,false,10000,20000,0.0238669
gamma-heldout,1000055440,20000,defensive,0,2.1362317559539417,0.0017844080313054178,0.0021004989267522462,6576.800761974868,ChecksPassed,2.2839394505704328E-4,-0.9093338623656454,true,true,10000,540,false,10000,20000,0.0228673
gamma-heldout,1000055440,20000,defensive,1,1.8505463249357887,-0.004004017857964781,0.0020343332125336393,6576.800761974868,ChecksPassed,2.2839394505704328E-4,-0.9093338623656454,false,true,10000,540,false,10000,20000,0.0228673
gamma-heldout,1000063359,20000,defensive,0,2.133941770073502,-5.055778491342977E-4,0.0021308298640231186,5935.595314670791,ChecksPassed,2.723649320398153E-4,-0.8919491019031698,true,true,10000,529,false,10000,20000,0.0219162
gamma-heldout,1000063359,20000,defensive,1,1.8560188238973043,0.0014684811035508005,0.0020947227609933107,5935.595314670791,ChecksPassed,2.723649320398153E-4,-0.8919491019031698,true,true,10000,529,false,10000,20000,0.0219162
gamma-heldout,1000071278,20000,defensive,0,2.130361400178189,-0.00408594774444726,0.0020858157356285537,6273.876331674132,ChecksPassed,2.49423537431996E-4,-0.9979719088000595,true,true,10000,533,false,10000,20000,0.019271
gamma-heldout,1000071278,20000,defensive,1,1.8584186485414105,0.0038683057476569527,0.0020966475783575243,6273.876331674132,ChecksPassed,2.49423537431996E-4,-0.9979719088000595,true,true,10000,533,false,10000,20000,0.019271
gamma-heldout,1000079197,20000,defensive,0,2.13490062224572,4.532743230836189E-4,0.002099299218634865,5852.860897159042,ChecksPassed,2.7433860969648736E-4,-0.887368595814407,true,true,10000,544,false,10000,20000,0.018295
gamma-heldout,1000079197,20000,defensive,1,1.8522178388677566,-0.0023325039259969316,0.002085460863878382,5852.860897159042,ChecksPassed,2.7433860969648736E-4,-0.887368595814407,true,true,10000,544,false,10000,20000,0.018295
gamma-heldout,1000087116,20000,defensive,0,2.135203978893944,7.566309713076258E-4,0.0021331684669640824,6178.6738270282885,ChecksPassed,2.5741829390869174E-4,-0.9024487928266689,true,true,10000,546,false,10000,20000,0.0162483
