target,seed,budget,method,coordinate,mean,error,mcse,ess,status,maxWeight,k,covered95,accurate,pilotCalls,pilotDraws,fallback,draws,evaluations,seconds
gamma-original,1009,2000,prior,0,2.105039492231532,-0.0028304809381038964,0.05639455500117711,2.88303471245425,Danger,0.5477301900767944,15.236779055147085,true,true,0,0,false,2000,2000,0.0740889
gamma-original,1009,2000,prior,1,1.860117449215329,0.01538810229087706,0.04106549654151926,2.88303471245425,Danger,0.5477301900767944,15.236779055147085,true,true,0,0,false,2000,2000,0.0740889
gamma-original,1009,2000,defensive,0,2.1611228036326797,0.05325283046304374,0.01658562304523329,1.5889125843598302,Danger,0.7798720268515289,18.660259777390262,false,false,1000,0,true,1000,2000,0.0266507
gamma-original,1009,2000,defensive,1,1.8312734670194684,-0.013455879904983536,0.041100125486530366,1.5889125843598302,Danger,0.7798720268515289,18.660259777390262,true,true,1000,0,true,1000,2000,0.0266507
gamma-original,1009,2000,slice,0,2.0677710827412787,-0.04009889042835724,0.07699020363288843,6.36049157100251,Danger,NA,NA,true,false,0,0,false,36,2000,0.0368874
gamma-original,1009,2000,slice,1,1.9143645670169842,0.06963522009253231,0.08369721840746414,6.2405798989547705,Danger,NA,NA,true,false,0,0,false,36,2000,0.0368874
gamma-original,1009,20000,prior,0,2.1112188469810933,0.00334887381145732,0.023687455963717238,43.400406810586645,Danger,0.05290223269740218,5.765740107731942,true,true,0,0,false,20000,20000,0.04829
gamma-original,1009,20000,prior,1,1.8520289002868866,0.0072995533624347075,0.021524407516870618,43.400406810586645,Danger,0.05290223269740218,5.765740107731942,true,true,0,0,false,20000,20000,0.04829
gamma-original,1009,20000,defensive,0,2.1100978723462362,0.0022278991766002676,0.0020884073622814783,6410.187716428842,ChecksPassed,3.68494756212463E-4,0.14058250015630713,true,true,10000,520,false,10000,20000,0.1349375
gamma-original,1009,20000,defensive,1,1.8429784018898971,-0.0017509450345547517,0.0022086739603394932,6410.187716428842,ChecksPassed,3.68494756212463E-4,0.14058250015630713,true,true,10000,520,false,10000,20000,0.1349375
gamma-original,1009,20000,slice,0,2.1230614268257706,0.015191453656134613,0.017596311951748024,124.55711709356773,Danger,NA,NA,true,true,0,0,false,1120,20000,0.0199655
gamma-original,1009,20000,slice,1,1.8322007842214185,-0.012528562703033375,0.017915205682118247,120.12822231299235,Danger,NA,NA,true,true,0,0,false,1120,20000,0.0199655
gamma-original,1009,200000,prior,0,2.110522292344336,0.0026523191746998798,0.00681621545456217,418.33063964281047,Danger,0.004875642583346585,1.4823442478401732,true,true,0,0,false,200000,200000,0.3325563
gamma-original,1009,200000,prior,1,1.846008284238743,0.0012789373142911842,0.006801579843475027,418.33063964281047,Danger,0.004875642583346585,1.4823442478401732,true,true,0,0,false,200000,200000,0.3325563
gamma-original,1009,200000,defensive,0,2.1080407964274186,1.708232577826152E-4,4.769594171991157E-4,122272.95981028806,ChecksPassed,3.052760239912096E-5,0.5793736525283026,true,true,10000,520,false,190000,200000,0.3323323
gamma-original,1009,200000,defensive,1,1.8442552128069238,-4.741341175280578E-4,4.999877453541428E-4,122272.95981028806,ChecksPassed,3.052760239912096E-5,0.5793736525283026,true,true,10000,520,false,190000,200000,0.3323323
gamma-original,1009,200000,slice,0,2.11206174704914,0.00419177387950409,0.005151092766683137,1487.1339374405889,ChecksPassed,NA,NA,true,true,0,0,false,12104,200000,0.0625426
gamma-original,1009,200000,slice,1,1.8413326085653794,-0.003396738359072504,0.005070897568419165,1522.9844265354125,ChecksPassed,NA,NA,true,true,0,0,false,12104,200000,0.0625426
gamma-original,8928,2000,prior,0,2.1684963473922614,0.0606263742226254,0.06448119255404546,4.0808737664576595,Danger,0.3377162537569495,14.366029354515454,true,false,0,0,false,2000,2000,0.0022076
gamma-original,8928,2000,prior,1,1.794948967401393,-0.049780379523058915,0.07115568374217143,4.0808737664576595,Danger,0.3377162537569495,14.366029354515454,true,false,0,0,false,2000,2000,0.0022076
gamma-original,8928,2000,defensive,0,1.8255352301892502,-0.28233474298038574,0.021299631584283905,1.9809597316290417,Danger,0.6301110721199115,17.81848430465343,false,false,1000,0,true,1000,2000,0.0015111
gamma-original,8928,2000,defensive,1,2.131266281485692,0.2865369345612403,0.05346336765026706,1.9809597316290417,Danger,0.6301110721199115,17.81848430465343,false,false,1000,0,true,1000,2000,0.0015111
gamma-original,8928,2000,slice,0,2.1110611227018654,0.0031911495322294314,0.03520740871171858,17.83628886146659,Danger,NA,NA,true,true,0,0,false,40,2000,0.0015809
gamma-original,8928,2000,slice,1,1.8142951411917203,-0.03043420573273159,0.028487564162450775,18.779417486805965,Danger,NA,NA,true,false,0,0,false,40,2000,0.0015809
gamma-original,8928,20000,prior,0,2.0776945788736363,-0.03017539429599969,0.022551270772008348,41.389885868953996,Danger,0.04683083515729163,6.090425793483424,true,false,0,0,false,20000,20000,0.0147323
gamma-original,8928,20000,prior,1,1.8804962938706415,0.03576694694618965,0.023733725450024702,41.389885868953996,Danger,0.04683083515729163,6.090425793483424,true,false,0,0,false,20000,20000,0.0147323
gamma-original,8928,20000,defensive,0,2.106885465303165,-9.845078664709739E-4,0.002099047719348032,6353.655706311493,ChecksPassed,3.934167013778576E-4,0.1492373533767691,true,true,10000,554,false,10000,20000,0.0127608
gamma-original,8928,20000,defensive,1,1.8462676507590234,0.0015383038345715416,0.0022292475451360337,6353.655706311493,ChecksPassed,3.934167013778576E-4,0.1492373533767691,true,true,10000,554,false,10000,20000,0.0127608
gamma-original,8928,20000,slice,0,2.1326871569804124,0.024817183810776466,0.014839769383737947,179.34059936828368,Danger,NA,NA,true,false,0,0,false,1140,20000,0.0049511
gamma-original,8928,20000,slice,1,1.8204788258395588,-0.024250521084893117,0.01487504468626696,161.21099292859216,Danger,NA,NA,true,false,0,0,false,1140,20000,0.0049511
gamma-original,8928,200000,prior,0,2.105433730383878,-0.002436242785758047,0.006811383673050711,419.69649312368915,Danger,0.004796407092862163,1.3005822016895057,true,true,0,0,false,200000,200000,0.2049678
gamma-original,8928,200000,prior,1,1.8490016581978437,0.004272311273391782,0.006711196427693359,419.69649312368915,Danger,0.004796407092862163,1.3005822016895057,true,true,0,0,false,200000,200000,0.2049678
gamma-original,8928,200000,defensive,0,2.1070486817812646,-8.212913883713924E-4,4.88420263121489E-4,120498.36177169319,Danger,3.609982908698052E-5,1.0343908390449723,true,true,10000,554,false,190000,200000,0.2003524
gamma-original,8928,200000,defensive,1,1.8454390730197394,7.097260952875217E-4,5.247863875772853E-4,120498.36177169319,Danger,3.609982908698052E-5,1.0343908390449723,true,true,10000,554,false,190000,200000,0.2003524
