"jvm","diagnosticHotspot","shape","values","round","stage","iterations","seconds","allocatedBytes","fingerprint"
"0","row","continuous","1024","-5","mergeSort","62","0.0042618","541200","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-5","summary","62","0.0743825","43812488","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","continuous","1024","-5","radixRank","62","0.0087234","3579856","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-5","mergeRank","62","0.0035275","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-5","scoresAndScatter","62","0.0025707","2490952","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-5","radixSort","62","0.005496899","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-4","scoresAndScatter","62","0.0033289","2490952","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-4","mergeRank","62","0.003053799","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-4","radixRank","62","0.0068359","3580024","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-4","summary","62","0.0406686","43718512","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","continuous","1024","-4","mergeSort","62","7.942E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-4","radixSort","62","9.129E-4","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-3","scoresAndScatter","62","0.006492899","2489960","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-3","radixSort","62","9.104E-4","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-3","mergeSort","62","7.87901E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-3","summary","62","0.023767499","43616008","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","continuous","1024","-3","radixRank","62","0.005781299","3578680","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-3","mergeRank","62","0.0034021","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-2","radixRank","62","0.004233399","3575928","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-2","summary","62","0.023932801","43582376","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","continuous","1024","-2","mergeSort","62","8.68801E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-2","radixSort","62","9.76299E-4","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-2","scoresAndScatter","62","0.0024189","2486272","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-2","mergeRank","62","0.003387799","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-1","radixRank","62","0.003451101","3574712","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-1","mergeRank","62","0.0032955","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-1","scoresAndScatter","62","0.002226301","2485992","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","-1","radixSort","62","9.81E-4","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-1","mergeSort","62","9.889E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","-1","summary","62","0.0263444","43568384","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","continuous","1024","0","mergeSort","62","9.446E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
