jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
1,concentrated,legacy,2000,23000003,Completed,2.9341197010502578,NaN,NaN,2000,0,0,0.0,0.0,0.017692600000000003,2.9702970297029703
1,concentrated,prior,2000,23000003,Completed,2.934119701050256,2.092488099471675,NaN,2000,0,10000,0.0,0.0,0.013009300000000001,2.9702970297029703
1,concentrated,single,2000,23000003,Fitted,2.9715761310680175,1142.840193833937,3.3784570861739307,2000,3000,10000,0.0133913,4.969E-4,0.024159100000000003,2.9702970297029703
1,concentrated,mixture,2000,23000003,Fitted,2.9677218646005556,738.3816543465739,3.454902991760459,2000,3000,10000,0.020895900000000002,0.054133200000000006,0.08468500000000001,2.9702970297029703
1,concentrated,mh,2000,23000003,Completed,2.7460606478186413,NaN,5.756756139999649,2000,1000,0,0.0,0.0,0.0087597,2.9702970297029703
1,concentrated,legacy,8000,23000003,Completed,2.8926610919215068,NaN,NaN,8000,0,0,0.0,0.0,0.024079200000000002,2.9702970297029703
1,concentrated,prior,8000,23000003,Completed,2.8926610919214975,7.1975586417120425,NaN,8000,0,40000,0.0,0.0,0.0297694,2.9702970297029703
1,concentrated,single,8000,23000003,Fitted,2.970720429743327,4617.251614609022,3.3784570861739307,8000,3000,40000,0.010126900000000001,4.537E-4,0.039115000000000004,2.9702970297029703
1,concentrated,mixture,8000,23000003,Fitted,2.9698625005447363,3104.5716846877535,3.454902991760459,8000,3000,40000,0.008825000000000001,0.0582106,0.0952482,2.9702970297029703
1,concentrated,mh,8000,23000003,Completed,2.8440338480137632,NaN,2.163005219486001,8000,1000,0,0.0,0.0,0.0219868,2.9702970297029703
1,hierarchical,legacy,2000,23000003,Completed,0.9888733185987445,NaN,NaN,2000,0,0,0.0,0.0,0.0214416,0.9803921568627451
1,hierarchical,prior,2000,23000003,Completed,0.9888733185987278,170.89673807271373,NaN,2000,0,18000,0.0,0.0,0.0191827,0.9803921568627451
1,hierarchical,single,2000,23000003,Fitted,0.9776776096046897,966.0473090217248,1.1887340206833055,2000,3000,18000,0.013508800000000001,3.041E-4,0.0349568,0.9803921568627451
1,hierarchical,mixture,2000,23000003,Fitted,0.9891865873739989,985.036434375633,1.133052688964626,2000,3000,18000,0.014606500000000001,0.041487100000000006,0.0795715,0.9803921568627451
1,hierarchical,mh,2000,23000003,Completed,1.0023581559828953,NaN,1.1166077250730724,2000,1000,0,0.0,0.0,0.0100265,0.9803921568627451
1,hierarchical,legacy,8000,23000003,Completed,0.9853350996712589,NaN,NaN,8000,0,0,0.0,0.0,0.023802900000000002,0.9803921568627451
1,hierarchical,prior,8000,23000003,Completed,0.9853350996711869,705.1460129987605,NaN,8000,0,72000,0.0,0.0,0.077475,0.9803921568627451
1,hierarchical,single,8000,23000003,Fitted,0.971520207139471,1994.2683328342896,1.376768418941244,8000,3000,72000,0.0114742,2.929E-4,0.0355629,0.9803921568627451
1,hierarchical,mixture,8000,23000003,Fitted,0.982018965876306,3676.887592073526,1.1835072802377482,8000,3000,64000,0.009268,0.0597777,0.0956926,0.9803921568627451
1,hierarchical,mh,8000,23000003,Completed,0.9597000919061881,NaN,1.0226247141190579,8000,1000,0,0.0,0.0,0.019849600000000002,0.9803921568627451
1,mixture,legacy,2000,23000003,Completed,0.6370757180156605,NaN,NaN,2000,0,0,0.0,0.0,0.0025328,0.631578947368421
1,mixture,prior,2000,23000003,Completed,0.6370757180156699,1315.5964125560274,NaN,2000,0,14000,0.0,0.0,0.006432200000000001,0.631578947368421
1,mixture,single,2000,23000003,Fitted,0.6046140873169156,358.9203605557221,1.0020211758750026,2000,3000,12000,0.0073274,2.81E-4,0.012852200000000001,0.631578947368421
1,mixture,mixture,2000,23000003,Fitted,0.6308589783931373,1888.8314274422335,1.003236357257913,2000,3000,10000,0.0066446000000000005,0.0042099,0.0162245,0.631578947368421
1,mixture,mh,2000,23000003,Completed,0.6345000000000001,NaN,1.0028166037268251,2000,1000,0,0.0,0.0,0.0062743,0.631578947368421
1,mixture,legacy,8000,23000003,Completed,0.6296345164269679,NaN,NaN,8000,0,0,0.0,0.0,0.005869200000000001,0.631578947368421
1,mixture,prior,8000,23000003,Completed,0.6296345164269579,5246.973372915385,NaN,8000,0,56000,0.0,0.0,0.016077300000000003,0.631578947368421
