case,seed,method,attempts,priorCalls,proposalDraws,rejected,reference,mean,ess,accurate,health
normal,19000001,prior,2000,2000,2000,0,0.8,0.7920416667322481,806.2959778610532,true,ChecksPassed
normal,19000001,informed,2000,2000,2000,0,0.8,0.7811934040032443,1895.1732649841053,true,ChecksPassed
normal,34485864,prior,2000,2000,2000,0,0.8,0.8037057133864215,854.6895743770045,true,ChecksPassed
normal,34485864,informed,2000,2000,2000,0,0.8,0.8057366683005243,1878.5457523612426,true,ChecksPassed
normal,49971727,prior,2000,2000,2000,0,0.8,0.7597100759212345,828.9515287622663,false,ChecksPassed
normal,49971727,informed,2000,2000,2000,0,0.8,0.7879983520402024,1881.5505445977808,true,ChecksPassed
normal,65457590,prior,2000,2000,2000,0,0.8,0.7925673045084676,850.8538917286439,true,ChecksPassed
normal,65457590,informed,2000,2000,2000,0,0.8,0.8075807834207651,1885.566871831782,true,ChecksPassed
normal,80943453,prior,2000,2000,2000,0,0.8,0.7798823969027339,851.8376082238449,true,ChecksPassed
normal,80943453,informed,2000,2000,2000,0,0.8,0.8053246349249653,1883.7976664744692,true,ChecksPassed
normal,96429316,prior,2000,2000,2000,0,0.8,0.788134949272091,853.4553154606682,true,ChecksPassed
normal,96429316,informed,2000,2000,2000,0,0.8,0.8060566540813254,1885.8882756338699,true,ChecksPassed
normal,111915179,prior,2000,2000,2000,0,0.8,0.8078283315803534,847.92675683931,true,ChecksPassed
normal,111915179,informed,2000,2000,2000,0,0.8,0.8037195280311993,1885.7088143080841,true,ChecksPassed
normal,127401042,prior,2000,2000,2000,0,0.8,0.8199972578169986,855.5925281203057,true,ChecksPassed
normal,127401042,informed,2000,2000,2000,0,0.8,0.8061801332554202,1885.8696659548584,true,ChecksPassed
normal,142886905,prior,2000,2000,2000,0,0.8,0.788577047137321,824.3451874783825,true,ChecksPassed
normal,142886905,informed,2000,2000,2000,0,0.8,0.7921507531787644,1889.0309905740555,true,ChecksPassed
normal,158372768,prior,2000,2000,2000,0,0.8,0.7914826767102858,822.7018779044485,true,ChecksPassed
normal,158372768,informed,2000,2000,2000,0,0.8,0.7889621779564282,1889.4670667130429,true,ChecksPassed
normal,173858631,prior,2000,2000,2000,0,0.8,0.7867299382006038,828.5289139895474,true,ChecksPassed
normal,173858631,informed,2000,2000,2000,0,0.8,0.7943117474307572,1874.860939205219,true,ChecksPassed
normal,189344494,prior,2000,2000,2000,0,0.8,0.7918560257684667,835.4755674488486,true,ChecksPassed
normal,189344494,informed,2000,2000,2000,0,0.8,0.7940258682736455,1881.0364085937974,true,ChecksPassed
