fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
local,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.300853174086136E-4,-1.1570451951425147,0.14125,0.16425,33.4551,15.1862,9.6323
local,103000,1,gvm-regression,6,completed,1200,4000,4000,-3.300853174086136E-4,-1.156841199453626,0.147,0.16425,12.8271,9.0063,7.3627
local,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.300853174086136E-4,-1.1999089888656775,0.16675,0.16425,6.1688,10.0313,4.733
local,103000,2,gvm-regression,13,completed,1200,4000,4000,-3.300853174086136E-4,-1.199472046250953,0.16375,0.16425,2.3684,7.7151,1.6087
local,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.300853174086136E-4,-1.2330185072582622,0.17075,0.16425,1.259,10.4472,4.8361
local,103000,4,gvm-regression,27,completed,1200,4000,4000,-3.300853174086136E-4,-1.2328931757045996,0.16575,0.16425,2.1888,8.6376,1.5932
local,103001,1,gvm-regression,6,completed,1200,4000,4000,-0.0013826314839130419,-1.1258568948659728,0.162,0.1625,1.0258,2.949,1.4411
local,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.0013826314839130419,-1.1254098987917172,0.15725,0.1625,1.0393,2.2407,1.2276
local,103001,2,gvm-regression,13,completed,1200,4000,4000,-0.0013826314839130419,-1.1822756418942826,0.183,0.1625,1.4394,4.6257,1.8566
local,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.0013826314839130419,-1.1824134407296736,0.17925,0.1625,1.1805,3.8054,1.8256
local,103001,4,gvm-regression,27,completed,1200,4000,4000,-0.0013826314839130419,-1.2077469888955765,0.17325,0.1625,1.2988,7.0796,1.8003
local,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.0013826314839130419,-1.2065849809255837,0.1835,0.1625,1.7856,8.3999,6.5045
local,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.006153904410885443,-1.128050996404966,0.1415,0.161,1.2159,2.6115,1.8676
local,103002,1,gvm-regression,6,completed,1200,4000,4000,-0.006153904410885443,-1.127905631462667,0.14925,0.161,1.3029,2.4315,1.361
local,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.006153904410885443,-1.1650243180996747,0.1655,0.161,1.154,3.9244,1.6132
local,103002,2,gvm-regression,13,completed,1200,4000,4000,-0.006153904410885443,-1.1647836497394783,0.16625,0.161,0.9599,2.6461,1.4008
local,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.006153904410885443,-1.201830922453283,0.15375,0.161,0.9342,7.3359,1.5945
local,103002,4,gvm-regression,27,completed,1200,4000,4000,-0.006153904410885443,-1.2034260039355742,0.1655,0.161,1.047,7.5949,1.2242
local,103003,1,gvm-regression,6,completed,1200,4000,4000,0.007482084220472782,-1.169613222081927,0.1695,0.15725,1.0408,3.6047,1.7311
local,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,0.007482084220472782,-1.1677540706724716,0.16425,0.15725,1.2121,3.1176,1.9377
local,103003,2,gvm-regression,13,completed,1200,4000,4000,0.007482084220472782,-1.2167016491670577,0.191,0.15725,1.0815,4.6877,1.1409
local,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,0.007482084220472782,-1.2161178000888273,0.197,0.15725,0.8715,4.468,2.1743
local,103003,4,gvm-regression,27,completed,1200,4000,4000,0.007482084220472782,-1.2316584631152627,0.17575,0.15725,1.3275,7.4549,1.4664
local,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,0.007482084220472782,-1.2326690731495478,0.17975,0.15725,1.5759,9.6422,2.3929
local,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.008708384499398078,-1.1295285982742491,0.1555,0.1535,1.0385,2.414,2.0357
local,103004,1,gvm-regression,6,completed,1200,4000,4000,-0.008708384499398078,-1.129870461267636,0.17375,0.1535,1.733,2.772,1.6635
local,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.008708384499398078,-1.1687992996255772,0.18675,0.1535,1.0473,2.7258,2.0574
local,103004,2,gvm-regression,13,completed,1200,4000,4000,-0.008708384499398078,-1.168998216748844,0.19575,0.1535,1.1699,4.171,1.7386
local,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.008708384499398078,-1.1991086802279325,0.16975,0.1535,1.2466,6.3603,2.2527
local,103004,4,gvm-regression,27,completed,1200,4000,4000,-0.008708384499398078,-1.2007543533037632,0.18475,0.1535,1.0781,5.713,1.3993
curved,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,0.516211622086922,-2.8547767061421254,0.113,0.037,0.9329,1.9266,1.8626
curved,103000,1,gvm-regression,6,completed,1200,4000,4000,0.516211622086922,-1.3579101834445964,0.0325,0.037,0.9174,2.4685,1.763
curved,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,0.516211622086922,-2.781050281235519,0.11025,0.037,1.2736,3.3917,1.9312
curved,103000,2,gvm-regression,13,completed,1200,4000,4000,0.516211622086922,-1.4028384749744964,0.029,0.037,1.0425,3.2974,1.3113
curved,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,0.516211622086922,-2.248777965004655,0.104,0.037,0.9205,6.5453,1.9977
curved,103000,4,gvm-regression,27,completed,1200,4000,4000,0.516211622086922,-1.4349505301385321,0.026,0.037,0.9945,4.6735,1.2656
curved,103001,1,gvm-regression,6,completed,1200,4000,4000,0.5308360862503138,-1.331866814063839,0.03875,0.0415,0.8265,2.295,1.1999
curved,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,0.5308360862503138,-2.8251647927037,0.119,0.0415,1.1639,1.5209,1.5754
curved,103001,2,gvm-regression,13,completed,1200,4000,4000,0.5308360862503138,-1.3861762513896232,0.0395,0.0415,0.6372,2.7175,1.1893
