fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
local,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.300853174086136E-4,-1.1570451951425147,0.14125,0.16425,33.2802,15.947,9.5971
local,103000,1,gvm-regression,6,completed,1200,4000,4000,-3.300853174086136E-4,-1.156841199453626,0.147,0.16425,13.349,12.8315,4.0403
local,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.300853174086136E-4,-1.1999089888656775,0.16675,0.16425,6.4318,11.3388,5.811
local,103000,2,gvm-regression,13,completed,1200,4000,4000,-3.300853174086136E-4,-1.199472046250953,0.16375,0.16425,2.6976,7.7433,2.2945
local,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.300853174086136E-4,-1.2330185072582622,0.17075,0.16425,1.1269,14.2181,1.7377
local,103000,4,gvm-regression,27,completed,1200,4000,4000,-3.300853174086136E-4,-1.2328931757045996,0.16575,0.16425,2.2281,8.9557,1.5188
local,103001,1,gvm-regression,6,completed,1200,4000,4000,-0.0013826314839130419,-1.1258568948659728,0.162,0.1625,1.0491,3.0234,1.2943
local,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.0013826314839130419,-1.1254098987917172,0.15725,0.1625,1.0227,2.014,1.6181
local,103001,2,gvm-regression,13,completed,1200,4000,4000,-0.0013826314839130419,-1.1822756418942826,0.183,0.1625,1.1037,4.1019,1.4912
local,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.0013826314839130419,-1.1824134407296736,0.17925,0.1625,1.0008,4.0702,2.3466
local,103001,4,gvm-regression,27,completed,1200,4000,4000,-0.0013826314839130419,-1.2077469888955765,0.17325,0.1625,1.2969,5.8313,1.5751
local,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.0013826314839130419,-1.2065849809255837,0.1835,0.1625,1.7998,8.3774,4.7088
local,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.006153904410885443,-1.128050996404966,0.1415,0.161,1.1174,2.5369,2.4439
local,103002,1,gvm-regression,6,completed,1200,4000,4000,-0.006153904410885443,-1.127905631462667,0.14925,0.161,1.1605,2.5271,1.2138
local,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.006153904410885443,-1.1650243180996747,0.1655,0.161,0.9007,3.6518,1.6474
local,103002,2,gvm-regression,13,completed,1200,4000,4000,-0.006153904410885443,-1.1647836497394783,0.16625,0.161,0.9808,3.4602,1.1657
local,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.006153904410885443,-1.201830922453283,0.15375,0.161,1.0534,6.1279,1.6035
local,103002,4,gvm-regression,27,completed,1200,4000,4000,-0.006153904410885443,-1.2034260039355742,0.1655,0.161,1.0885,5.1325,1.1097
local,103003,1,gvm-regression,6,completed,1200,4000,4000,0.007482084220472782,-1.169613222081927,0.1695,0.15725,0.8546,2.4012,1.0368
