fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
local,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.300853174086136E-4,-1.1570451951425147,0.14125,0.16425,34.1454,14.8709,8.6234
local,103000,1,gvm-regression,6,completed,1200,4000,4000,-3.300853174086136E-4,-1.156841199453626,0.147,0.16425,8.8635,12.8756,3.9746
local,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.300853174086136E-4,-1.1999089888656775,0.16675,0.16425,6.3631,9.6361,4.3709
local,103000,2,gvm-regression,13,completed,1200,4000,4000,-3.300853174086136E-4,-1.199472046250953,0.16375,0.16425,2.1831,7.0612,1.6558
local,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.300853174086136E-4,-1.2330185072582622,0.17075,0.16425,1.0522,16.8895,1.5984
local,103000,4,gvm-regression,27,completed,1200,4000,4000,-3.300853174086136E-4,-1.2328931757045996,0.16575,0.16425,1.7554,9.2084,1.7358
local,103001,1,gvm-regression,6,completed,1200,4000,4000,-0.0013826314839130419,-1.1258568948659728,0.162,0.1625,1.324,3.122,1.7588
local,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.0013826314839130419,-1.1254098987917172,0.15725,0.1625,1.0132,2.1869,1.3936
local,103001,2,gvm-regression,13,completed,1200,4000,4000,-0.0013826314839130419,-1.1822756418942826,0.183,0.1625,1.2087,5.1599,1.5479
local,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.0013826314839130419,-1.1824134407296736,0.17925,0.1625,1.3421,4.9753,2.0304
local,103001,4,gvm-regression,27,completed,1200,4000,4000,-0.0013826314839130419,-1.2077469888955765,0.17325,0.1625,1.744,7.5741,1.7608
local,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.0013826314839130419,-1.2065849809255837,0.1835,0.1625,1.1922,7.3119,4.9658
local,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.006153904410885443,-1.128050996404966,0.1415,0.161,1.0596,2.7084,1.8315
local,103002,1,gvm-regression,6,completed,1200,4000,4000,-0.006153904410885443,-1.127905631462667,0.14925,0.161,1.2732,3.2107,1.6473
local,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.006153904410885443,-1.1650243180996747,0.1655,0.161,1.1453,4.2965,1.9728
local,103002,2,gvm-regression,13,completed,1200,4000,4000,-0.006153904410885443,-1.1647836497394783,0.16625,0.161,1.1922,5.0097,1.8955
local,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.006153904410885443,-1.201830922453283,0.15375,0.161,1.1737,7.1129,2.0679
local,103002,4,gvm-regression,27,completed,1200,4000,4000,-0.006153904410885443,-1.2034260039355742,0.1655,0.161,1.1185,7.8431,1.6147
local,103003,1,gvm-regression,6,completed,1200,4000,4000,0.007482084220472782,-1.169613222081927,0.1695,0.15725,1.0607,3.5641,1.5262
local,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,0.007482084220472782,-1.1677540706724716,0.16425,0.15725,1.0302,2.0484,1.9958
local,103003,2,gvm-regression,13,completed,1200,4000,4000,0.007482084220472782,-1.2167016491670577,0.191,0.15725,1.0073,4.6826,1.356
local,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,0.007482084220472782,-1.2161178000888273,0.197,0.15725,1.1461,4.3413,2.6079
local,103003,4,gvm-regression,27,completed,1200,4000,4000,0.007482084220472782,-1.2316584631152627,0.17575,0.15725,1.4566,8.0078,1.8698
local,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,0.007482084220472782,-1.2326690731495478,0.17975,0.15725,1.6863,8.1581,2.4751
local,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.008708384499398078,-1.1295285982742491,0.1555,0.1535,1.111,2.5966,2.4816
local,103004,1,gvm-regression,6,completed,1200,4000,4000,-0.008708384499398078,-1.129870461267636,0.17375,0.1535,1.3975,3.7943,1.5481
local,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.008708384499398078,-1.1687992996255772,0.18675,0.1535,1.244,5.5344,2.8481
local,103004,2,gvm-regression,13,completed,1200,4000,4000,-0.008708384499398078,-1.168998216748844,0.19575,0.1535,1.4753,6.5489,2.1603
local,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.008708384499398078,-1.1991086802279325,0.16975,0.1535,1.6249,8.9985,3.0229
local,103004,4,gvm-regression,27,completed,1200,4000,4000,-0.008708384499398078,-1.2007543533037632,0.18475,0.1535,1.1799,6.4701,1.4741
curved,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,0.516211622086922,-2.8547767061421254,0.113,0.037,1.0023,2.5166,2.8648
curved,103000,1,gvm-regression,6,completed,1200,4000,4000,0.516211622086922,-1.3579101834445964,0.0325,0.037,1.0257,2.2626,1.2261
curved,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,0.516211622086922,-2.781050281235519,0.11025,0.037,0.9439,3.6077,1.7546
curved,103000,2,gvm-regression,13,completed,1200,4000,4000,0.516211622086922,-1.4028384749744964,0.029,0.037,0.8104,3.4076,1.232
curved,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,0.516211622086922,-2.248777965004655,0.104,0.037,0.9397,5.7695,1.9428
curved,103000,4,gvm-regression,27,completed,1200,4000,4000,0.516211622086922,-1.4349505301385321,0.026,0.037,1.0501,5.6873,1.9542
curved,103001,1,gvm-regression,6,completed,1200,4000,4000,0.5308360862503138,-1.331866814063839,0.03875,0.0415,1.1059,2.649,1.5579
curved,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,0.5308360862503138,-2.8251647927037,0.119,0.0415,1.1384,2.8318,1.3557
curved,103001,2,gvm-regression,13,completed,1200,4000,4000,0.5308360862503138,-1.3861762513896232,0.0395,0.0415,0.6794,3.1067,1.2427
curved,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,0.5308360862503138,-2.735038464746041,0.126,0.0415,0.9795,3.9765,1.6128
