case,seed,draws,pilotCalls,reference,tolerance,mean,rawMcse,batchMcse,varianceEss,queryK,health,coveredRaw,coveredBatch,accurate,queryFlag
normal,5000003,2000,0,0.0,0.1,0.003352105087108274,0.019158728784050394,0.019554281415442885,1347.2118035773522,-0.9968205378716464,ChecksPassed,true,true,true,false
normal,5000003,10000,0,0.0,0.1,0.0012874224896377382,0.008799893001705453,0.008002194329918296,6888.014203504043,-1.046803707730448,ChecksPassed,true,true,true,false
normal,5000003,40000,0,0.0,0.1,0.003621571405568842,0.004353689134196496,0.0046160491256337964,27483.131935512338,-1.660474412466665,ChecksPassed,true,true,true,false
normal,5104732,2000,0,0.0,0.1,0.0016459978547541556,0.01982511283810541,0.018388519781279332,1399.1417182883197,-1.0682388839330133,ChecksPassed,true,true,true,false
normal,5104732,10000,0,0.0,0.1,0.012336678559272988,0.00882655917554945,0.010830007021467278,6937.55711584834,-1.6492005445768647,ChecksPassed,true,true,true,false
normal,5104732,40000,0,0.0,0.1,0.008010471472188415,0.0043877007636544604,0.0038243721552437718,27577.32140255933,-1.6761210626686098,ChecksPassed,true,false,true,false
normal,5209461,2000,0,0.0,0.1,-0.014860768617459897,0.01941278171743304,0.019719727615046666,1358.5759055916305,-1.6364262923151074,ChecksPassed,true,true,true,false
normal,5209461,10000,0,0.0,0.1,0.006445602852366066,0.0088160832525441,0.008067654704120296,6887.627735971627,-1.7119302028295704,ChecksPassed,true,true,true,false
normal,5209461,40000,0,0.0,0.1,0.002901551859462348,0.004395431106910346,0.0042150423829166676,27628.576373578322,-1.7909664991137575,ChecksPassed,true,true,true,false
normal,5314190,2000,0,0.0,0.1,0.003516391638242692,0.019013399801862674,0.01759447303052193,1350.373160825081,-1.1542452836733457,ChecksPassed,true,true,true,false
normal,5314190,10000,0,0.0,0.1,-0.01459627711008934,0.008710806942028157,0.010515085116592549,6855.448086600189,-1.6962306267031413,ChecksPassed,true,true,true,false
normal,5314190,40000,0,0.0,0.1,-0.0046562975099736816,0.004375504295341637,0.0051909886637969685,27475.503556985346,-1.7905641334281923,ChecksPassed,true,true,true,false
normal,5418919,2000,0,0.0,0.1,0.03784624875689022,0.01964889905530756,0.02118141032496811,1391.6407024270723,-1.6766705716619041,ChecksPassed,true,true,true,false
normal,5418919,10000,0,0.0,0.1,0.008244126308638713,0.008761924482631824,0.008396465611189927,6901.345877436223,-1.7109692346267913,ChecksPassed,true,true,true,false
normal,5418919,40000,0,0.0,0.1,0.0067502070613155605,0.004394974838041529,0.006213029931799954,27645.367221470085,-1.7415296622792718,ChecksPassed,true,true,true,false
normal,5523648,2000,0,0.0,0.1,-0.028625786987582107,0.019219285079461974,0.022053092417121348,1368.2983237524704,-1.3899110548111961,ChecksPassed,true,true,true,false
normal,5523648,10000,0,0.0,0.1,-0.0024142914431146325,0.008682513354253723,0.00915702813993792,6898.224446555057,-1.3769959982510818,ChecksPassed,true,true,true,false
normal,5523648,40000,0,0.0,0.1,-5.378948928530782E-4,0.004360658115621989,0.005934540663583887,27571.445134081136,-1.467129375436236,ChecksPassed,true,true,true,false
normal,5628377,2000,0,0.0,0.1,-0.005514852182009284,0.019387215011395502,0.018611155214520322,1362.9828912016123,-1.0648617144414734,ChecksPassed,true,true,true,false
normal,5628377,10000,0,0.0,0.1,0.0015839829939074414,0.008720413219207022,0.008600592058914317,6860.725094144418,-1.1084473838674238,ChecksPassed,true,true,true,false
normal,5628377,40000,0,0.0,0.1,-9.032241719744259E-4,0.004375980438980005,0.003938496063429904,27569.532556790255,-1.7594010183642657,ChecksPassed,true,true,true,false
normal,5733106,2000,0,0.0,0.1,-0.03211060052885841,0.01986420825739867,0.02412479049783489,1387.4970923911962,-1.5739908977946249,ChecksPassed,true,true,true,false
normal,5733106,10000,0,0.0,0.1,0.0012303363933072568,0.008781933012369347,0.010506471391278721,6918.261289947386,-1.2292639642486733,ChecksPassed,true,true,true,false
normal,5733106,40000,0,0.0,0.1,0.013187362069420843,0.004412676479451143,0.005841512913197227,27714.520110698635,-1.7591962925488256,ChecksPassed,false,false,true,false
normal,5837835,2000,0,0.0,0.1,-0.002751343005741442,0.01949060148068453,0.019849670223255067,1380.3159120052178,-0.9471786269969141,ChecksPassed,true,true,true,false
normal,5837835,10000,0,0.0,0.1,-0.002967356840303207,0.008835803863829645,0.006103879517624948,6959.769549670537,-1.712812438285986,ChecksPassed,true,true,true,false
normal,5837835,40000,0,0.0,0.1,7.956795612049877E-4,0.004404791084189633,0.00348232949375217,27705.410498996604,-1.7508887608670938,ChecksPassed,true,true,true,false
normal,5942564,2000,0,0.0,0.1,-0.0174851957588373,0.019864611498907152,0.016449027695567928,1368.7384269170157,-1.6561951142311022,ChecksPassed,true,true,true,false
normal,5942564,10000,0,0.0,0.1,-0.00434232992137203,0.0088068518999019,0.005379914668515766,6882.493168289381,-1.8220371290974489,ChecksPassed,true,true,true,false
