case,method,seed,draws,mean,reference,ess,mcse,seconds
hierarchical,prior,59000021,4000,0.9807722165005188,0.9803921568627451,316.34836151567004,0.006961122392652362,0.2260242
hierarchical,root,59000021,4000,0.9775386497238892,0.9803921568627451,2013.0784759064932,0.0034387877649971928,0.07142140000000001
hierarchical,joint,59000021,4000,0.9786743805377569,0.9803921568627451,3184.656537880734,0.001988411646629079,0.142293
nonlinear,prior,59000021,4000,0.4435579527233416,0.5,342.93968693180824,0.026808942988418464,0.0455701
nonlinear,root,59000021,4000,0.5083464862211491,0.5,1654.0900936538123,0.012291440283458632,0.0485109
nonlinear,joint,59000021,4000,0.5092940005532238,0.5,2471.494922161185,0.010056619188557164,0.09726900000000001
rare-event,prior,59000021,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.029365600000000002
rare-event,root,59000021,4000,3.135065366196646E-5,3.167124183311997E-5,856.5132275912633,4.0198272006689684E-6,0.0154307
rare-event,joint,59000021,4000,2.9345305796962192E-5,3.167124183311997E-5,461.8962678031757,1.7848587375630054E-6,0.013134900000000001
hierarchical,prior,74485884,4000,0.9788035567629316,0.9803921568627451,334.76549037956426,0.006245772712469062,0.0183758
hierarchical,root,74485884,4000,0.9785853107421715,0.9803921568627451,2073.05487982822,0.003188322336019277,0.0206906
hierarchical,joint,74485884,4000,0.9832938494262212,0.9803921568627451,3156.4096237082654,0.0020329013173295096,0.07283200000000001
nonlinear,prior,74485884,4000,0.5394383781920828,0.5,340.8868344049602,0.026954976381954057,0.0111622
nonlinear,root,74485884,4000,0.504917261081374,0.5,1685.6657280007944,0.012176619966914486,0.0256175
nonlinear,joint,74485884,4000,0.5028541245354041,0.5,2448.0665919116304,0.010105238412408171,0.0559365
rare-event,prior,74485884,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.005556
rare-event,root,74485884,4000,3.144898402677503E-5,3.167124183311997E-5,856.9221615866599,3.9953562837006595E-6,0.008011200000000001
rare-event,joint,74485884,4000,3.1295986657227075E-5,3.167124183311997E-5,440.51993937031176,1.9322003876865877E-6,0.007625600000000001
hierarchical,prior,89971747,4000,0.986960447732595,0.9803921568627451,335.00631682389826,0.0062827938617161135,0.014899500000000001
hierarchical,root,89971747,4000,0.9774095164746013,0.9803921568627451,2057.699035115352,0.003207275031832721,0.017165
hierarchical,joint,89971747,4000,0.9806042557883086,0.9803921568627451,3148.950967269073,0.002022946242319491,0.0419461
nonlinear,prior,89971747,4000,0.5263139586147721,0.5,340.6979453621345,0.02706489261727721,0.008515700000000001
nonlinear,root,89971747,4000,0.5077026414069404,0.5,1649.6811884618512,0.012312431002585823,0.0169079
nonlinear,joint,89971747,4000,0.5028716702888613,0.5,2438.6580995550025,0.010124880606056845,0.0306785
rare-event,prior,89971747,4000,2.5E-4,3.167124183311997E-5,3999.9999999997935,2.4996874804661666E-4,0.0033488000000000003
rare-event,root,89971747,4000,3.2662557602172294E-5,3.167124183311997E-5,832.9782350944967,4.054427821261037E-6,0.0055944
rare-event,joint,89971747,4000,3.183386764599596E-5,3.167124183311997E-5,443.24650649238356,1.9469398890193425E-6,0.005428700000000001
hierarchical,prior,105457610,4000,0.9754896981164426,0.9803921568627451,325.70217279689604,0.006865452443125756,0.0083231
hierarchical,root,105457610,4000,0.9779551851789302,0.9803921568627451,2034.3886121680937,0.0033603566873536246,0.0089776
hierarchical,joint,105457610,4000,0.9826288408123318,0.9803921568627451,3119.7746793526107,0.002041583497184872,0.027777000000000003
nonlinear,prior,105457610,4000,0.4664227995901007,0.5,322.8457594902137,0.027729614432237433,0.011603
nonlinear,root,105457610,4000,0.48931338347775405,0.5,1652.2876235442923,0.01229528680720077,0.0107404
nonlinear,joint,105457610,4000,0.5043710954776279,0.5,2454.9735864757236,0.010091300601763824,0.029450200000000003
rare-event,prior,105457610,4000,0.0,3.167124183311997E-5,3999.9999999997935,0.0,0.0032768000000000003
rare-event,root,105457610,4000,2.8835839759752415E-5,3.167124183311997E-5,853.4788294199138,3.797962441257073E-6,0.0047695
rare-event,joint,105457610,4000,3.171013705666283E-5,3.167124183311997E-5,436.6422065666177,1.958807962059775E-6,0.0048237
hierarchical,prior,120943473,4000,0.9941046953417132,0.9803921568627451,358.8583436682174,0.006450804510667143,0.0073607
hierarchical,root,120943473,4000,0.9783649143762434,0.9803921568627451,2039.458057907256,0.0033695518124067267,0.0089066
hierarchical,joint,120943473,4000,0.9872950388268161,0.9803921568627451,3114.60840460991,0.0020674698175173326,0.0275701
nonlinear,prior,120943473,4000,0.46730477125611875,0.5,366.9698290873273,0.02600702105408813,0.008223900000000001
nonlinear,root,120943473,4000,0.49800375973897526,0.5,1627.3576395416515,0.012394553355488107,0.010077800000000001
