case,seed,draws,method,fit,pilotCalls,fitCalls,productionCalls,reference,mean,ess,accurate,health
balanced,9000001,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5018061544853744,193.85518735194287,true,ChecksPassed
balanced,9000001,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5238410997476936,941.2721033931896,true,ChecksPassed
balanced,9000001,2000,multi,Fitted,12000,14620,2000,0.4997854698334016,0.4904577186019497,1735.706555211286,true,ChecksPassed
balanced,9000001,10000,multi,Fitted,12000,14620,10000,0.4997854698334016,0.503234326249377,8703.246497350334,true,ChecksPassed
balanced,9130364,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.48606862106084625,185.2677477990622,true,ChecksPassed
balanced,9130364,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4964871288231909,971.6231372696991,true,ChecksPassed
balanced,9130364,2000,multi,Fitted,12000,14440,2000,0.4997854698334016,0.500889605866727,1679.0122793815497,true,ChecksPassed
balanced,9130364,10000,multi,Fitted,12000,14440,10000,0.4997854698334016,0.4988988848776169,8565.276912335974,true,ChecksPassed
balanced,9260727,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.47305316257882973,190.26226147597916,false,ChecksPassed
balanced,9260727,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5215876603983309,948.7109406881729,true,ChecksPassed
balanced,9260727,2000,multi,Fitted,12000,14640,2000,0.4997854698334016,0.47521353914636594,1677.986536737747,true,ChecksPassed
balanced,9260727,10000,multi,Fitted,12000,14640,10000,0.4997854698334016,0.49297481833730183,8429.998910790004,true,ChecksPassed
balanced,9391090,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.47173482197386185,199.1453410394751,false,ChecksPassed
balanced,9391090,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4706648953590275,969.7167414292319,false,ChecksPassed
balanced,9391090,2000,multi,Fitted,12000,14910,2000,0.4997854698334016,0.49868702262112913,1702.9049301371676,true,ChecksPassed
balanced,9391090,10000,multi,Fitted,12000,14910,10000,0.4997854698334016,0.4918173155745489,8511.931571605966,true,ChecksPassed
balanced,9521453,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5086081660183751,183.11797453942924,true,ChecksPassed
balanced,9521453,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.50110652679618,941.3688150401448,true,ChecksPassed
balanced,9521453,2000,multi,Fitted,12000,14470,2000,0.4997854698334016,0.5084931483136006,1732.7810332627519,true,ChecksPassed
balanced,9521453,10000,multi,Fitted,12000,14470,10000,0.4997854698334016,0.5016056625573659,8680.419804093308,true,ChecksPassed
balanced,9651816,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4672101013682012,201.8573570184164,false,ChecksPassed
balanced,9651816,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4888743609417351,967.2779997590932,true,ChecksPassed
balanced,9651816,2000,multi,Fitted,12000,14350,2000,0.4997854698334016,0.4893218265612967,1762.2016165664518,true,ChecksPassed
balanced,9651816,10000,multi,Fitted,12000,14350,10000,0.4997854698334016,0.496711667066149,8756.14608220564,true,ChecksPassed
balanced,9782179,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5119639884512907,204.6991779217939,true,ChecksPassed
balanced,9782179,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4913421532402013,984.0397053809036,true,ChecksPassed
balanced,9782179,2000,multi,Fitted,12000,14680,2000,0.4997854698334016,0.5060784134089323,1695.435797554121,true,ChecksPassed
balanced,9782179,10000,multi,Fitted,12000,14680,10000,0.4997854698334016,0.5094831560303006,8581.166495394838,true,ChecksPassed
balanced,9912542,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4856282780051833,199.77137368825782,true,ChecksPassed
balanced,9912542,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.48871111407846973,970.4455965328737,true,ChecksPassed
balanced,9912542,2000,multi,Fitted,12000,14410,2000,0.4997854698334016,0.5204157026229623,1740.041315146549,true,ChecksPassed
balanced,9912542,10000,multi,Fitted,12000,14410,10000,0.4997854698334016,0.49925909856329526,8697.620703524772,true,ChecksPassed
balanced,10042905,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4904396439965605,183.84361624560077,true,ChecksPassed
balanced,10042905,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.49216853141889105,863.4380247882248,true,ChecksPassed
balanced,10042905,2000,multi,Fitted,12000,14490,2000,0.4997854698334016,0.5065109855998853,1387.9989157300583,true,ChecksPassed
balanced,10042905,10000,multi,Fitted,12000,14490,10000,0.4997854698334016,0.5035054692766247,6896.33247848451,true,ChecksPassed
balanced,10173268,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4928243487346276,188.24484888668295,true,ChecksPassed
balanced,10173268,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5004490536851937,973.3361716557155,true,ChecksPassed
balanced,10173268,2000,multi,Fitted,12000,14590,2000,0.4997854698334016,0.5002032579611506,1651.5584051699934,true,ChecksPassed
balanced,10173268,10000,multi,Fitted,12000,14590,10000,0.4997854698334016,0.4938644674935971,8278.754379080217,true,ChecksPassed
balanced,10303631,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5278423333072926,193.21677417639452,false,ChecksPassed
balanced,10303631,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5110276287846484,960.382217320376,true,ChecksPassed
balanced,10303631,2000,multi,Fitted,12000,14280,2000,0.4997854698334016,0.5001654579081862,1698.0969295903517,true,ChecksPassed
balanced,10303631,10000,multi,Fitted,12000,14280,10000,0.4997854698334016,0.48680922885835354,8483.487258728175,true,ChecksPassed
balanced,10433994,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4401587949790548,195.10622594979174,false,ChecksPassed
balanced,10433994,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.47320337980831617,938.7089666759919,false,ChecksPassed
balanced,10433994,2000,multi,Fitted,12000,14630,2000,0.4997854698334016,0.5226068347770897,1691.661898337593,true,ChecksPassed
balanced,10433994,10000,multi,Fitted,12000,14630,10000,0.4997854698334016,0.5119467868910169,8399.165362879312,true,ChecksPassed
balanced,10564357,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4780466856854615,175.2917107428434,true,ChecksPassed
balanced,10564357,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5006159443101396,950.1669509844716,true,ChecksPassed
balanced,10564357,2000,multi,Fitted,12000,14440,2000,0.4997854698334016,0.5049836353091418,1692.3544006354227,true,ChecksPassed
balanced,10564357,10000,multi,Fitted,12000,14440,10000,0.4997854698334016,0.5033472954702221,8439.296956713506,true,ChecksPassed
balanced,10694720,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.45760336851555283,173.61584146582382,false,ChecksPassed
balanced,10694720,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4622139865157492,958.3129710682774,false,ChecksPassed
balanced,10694720,2000,multi,Fitted,12000,14540,2000,0.4997854698334016,0.49500168851890247,1739.4552517113677,true,ChecksPassed
balanced,10694720,10000,multi,Fitted,12000,14540,10000,0.4997854698334016,0.496572020943265,8634.067862041167,true,ChecksPassed
balanced,10825083,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.48066219519035774,184.0582447954915,true,ChecksPassed
balanced,10825083,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5035896998942303,946.1293319878594,true,ChecksPassed
balanced,10825083,2000,multi,Fitted,12000,14470,2000,0.4997854698334016,0.5074193054660717,1675.2741942874927,true,ChecksPassed
balanced,10825083,10000,multi,Fitted,12000,14470,10000,0.4997854698334016,0.4966249958018218,8341.63800367267,true,ChecksPassed
balanced,10955446,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4757735521807117,182.2285527103188,true,ChecksPassed
balanced,10955446,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4979960099603583,986.6683993644406,true,ChecksPassed
balanced,10955446,2000,multi,Fitted,12000,14420,2000,0.4997854698334016,0.49020673248875674,1728.6111213530064,true,ChecksPassed
balanced,10955446,10000,multi,Fitted,12000,14420,10000,0.4997854698334016,0.499675773061298,8623.107180670038,true,ChecksPassed
balanced,11085809,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5148316555644685,195.44300724002267,true,ChecksPassed
balanced,11085809,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5073617519618415,1054.6212983213654,true,ChecksPassed
balanced,11085809,2000,multi,Fitted,12000,14560,2000,0.4997854698334016,0.47276452848119827,1624.0169211677394,false,ChecksPassed
balanced,11085809,10000,multi,Fitted,12000,14560,10000,0.4997854698334016,0.4950357630127537,8086.527658233426,true,ChecksPassed
balanced,11216172,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4828221940357009,174.5042887196779,true,ChecksPassed
balanced,11216172,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5106676577067303,926.5969478707913,true,ChecksPassed
balanced,11216172,2000,multi,Fitted,12000,14490,2000,0.4997854698334016,0.5133415949182526,1695.1250246171926,true,ChecksPassed
balanced,11216172,10000,multi,Fitted,12000,14490,10000,0.4997854698334016,0.5027997733359424,8476.16540970522,true,ChecksPassed
balanced,11346535,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.47083618917695197,187.38682686443144,false,ChecksPassed
balanced,11346535,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.49876729329044717,967.1480613070888,true,ChecksPassed
balanced,11346535,2000,multi,Fitted,12000,14510,2000,0.4997854698334016,0.48320427544930805,1629.3635111927154,true,ChecksPassed
balanced,11346535,10000,multi,Fitted,12000,14510,10000,0.4997854698334016,0.5036561582996921,8209.626895871845,true,ChecksPassed
balanced,11476898,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.49237244716693945,215.32821653532162,true,ChecksPassed
balanced,11476898,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5168117058379927,956.0523737820309,true,ChecksPassed
balanced,11476898,2000,multi,Fitted,12000,14700,2000,0.4997854698334016,0.5151545327629388,1664.7781664618956,true,ChecksPassed
balanced,11476898,10000,multi,Fitted,12000,14700,10000,0.4997854698334016,0.5068205121089928,8293.552557905767,true,ChecksPassed
balanced,11607261,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4510402945363209,201.09396249986975,false,ChecksPassed
balanced,11607261,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.504262793421497,990.1330953944288,true,ChecksPassed
balanced,11607261,2000,multi,Fitted,12000,14570,2000,0.4997854698334016,0.4906882035638192,1585.5044771948922,true,ChecksPassed
