workload,workers,samples,round,setupMs,sampleMs,queryMs,cleanupAndMetricsMs,cpuMs,liveThreadAllocatedBytes,heapPoolPeakBytes,estimate,absoluteError,estimatedEss
normal,1,200000,0,0.145,554.485,0.102,0.295,593.750,3092840968,644776128,0.49906500,0.00093500,200000.0
normal,2,200000,0,0.313,427.233,0.315,0.806,796.875,3275278016,644815840,0.49976000,0.00024000,200000.0
normal,4,200000,0,0.347,393.198,0.264,0.765,1484.375,3280148888,644870448,0.50053500,0.00053500,200000.0
normal,8,200000,0,0.378,449.225,0.320,1.120,3421.875,3165099472,644984480,0.50095000,0.00095000,200000.0
normal,8,200000,1,0.358,464.652,0.211,0.926,3656.250,3233489056,645012160,0.49857500,0.00142500,200000.0
normal,4,200000,1,0.216,396.355,0.224,0.690,1562.500,3184149632,644998080,0.49926500,0.00073500,200000.0
normal,2,200000,1,0.153,404.571,0.193,0.414,765.625,3126481096,644913392,0.50051500,0.00051500,200000.0
normal,1,200000,1,0.097,536.880,0.079,0.272,531.250,3006443960,644897536,0.49916500,0.00083500,200000.0
normal,1,200000,2,0.132,571.742,0.108,0.284,578.125,3169643928,644879328,0.49979000,0.00021000,200000.0
normal,2,200000,2,0.229,421.245,0.277,0.623,828.125,3049681000,644907408,0.50091000,0.00091000,200000.0
normal,4,200000,2,0.238,441.748,0.246,0.553,1687.500,3287349392,644963136,0.49957000,0.00043000,200000.0
normal,8,200000,2,0.321,598.108,0.293,1.007,4625.000,3203477184,645065584,0.50206500,0.00206500,200000.0
normal,8,200000,3,0.294,503.754,0.266,0.861,3937.500,3199877152,645076944,0.49832000,0.00168000,200000.0
normal,4,200000,3,0.239,408.081,0.246,0.563,1578.125,3222545000,645077376,0.49993500,0.00006500,200000.0
normal,2,200000,3,0.168,417.390,0.234,0.401,796.875,3164878792,644970976,0.50101000,0.00101000,200000.0
normal,1,200000,3,0.100,544.716,0.071,0.203,546.875,3006442808,644928352,0.50015000,0.00015000,200000.0
normal,1,200000,4,0.121,587.933,0.080,0.247,593.750,3246442776,644903312,0.50059500,0.00059500,200000.0
normal,2,200000,4,0.186,403.538,0.230,0.430,781.250,3088078696,644936608,0.50257000,0.00257000,200000.0
normal,4,200000,4,0.216,390.321,0.196,0.514,1484.375,3162544872,644984624,0.50251500,0.00251500,200000.0
normal,8,200000,4,0.341,454.224,0.257,0.756,3500.000,3241877000,645092720,0.49880000,0.00120000,200000.0
normal-seeded,1,200000,0,0.132,642.252,0.073,0.258,640.625,2988834824,644654496,0.49906500,0.00093500,200000.0
normal-seeded,2,200000,0,0.289,379.035,0.271,0.713,687.500,3171274688,644691424,0.50032000,0.00032000,200000.0
normal-seeded,4,200000,0,0.321,293.590,0.251,0.630,1140.625,3176143944,644744128,0.49946500,0.00053500,200000.0
normal-seeded,8,200000,0,0.467,281.420,0.349,1.072,2203.125,3061082256,644860032,0.49865000,0.00135000,200000.0
normal-seeded,8,200000,1,0.447,282.592,0.195,1.057,2046.875,3129482408,644872096,0.50112500,0.00112500,200000.0
normal-seeded,4,200000,1,0.254,276.685,0.211,0.734,1093.750,3080144136,644855840,0.49947000,0.00053000,200000.0
normal-seeded,2,200000,1,0.186,358.038,0.263,0.597,687.500,3022474872,644746400,0.49901000,0.00099000,200000.0
normal-seeded,1,200000,1,0.105,626.483,0.073,0.210,968.750,2902434888,644705568,0.49916500,0.00083500,200000.0
normal-seeded,1,200000,2,0.147,633.774,0.084,0.262,625.000,3065634824,644687760,0.49979000,0.00021000,200000.0
normal-seeded,2,200000,2,0.249,332.179,0.243,0.595,671.875,2945674712,644720640,0.50009000,0.00009000,200000.0
normal-seeded,4,200000,2,0.285,295.385,0.272,0.716,1109.375,3183343920,644785152,0.50102000,0.00102000,200000.0
normal-seeded,8,200000,2,0.462,279.876,0.231,0.921,2078.125,3099473064,644897376,0.50038000,0.00038000,200000.0
normal-seeded,8,200000,3,0.338,279.065,0.190,0.767,2078.125,3095873192,644913312,0.50148500,0.00148500,200000.0
normal-seeded,4,200000,3,0.238,285.458,0.324,0.638,1062.500,3118539528,644907472,0.49975000,0.00025000,200000.0
normal-seeded,2,200000,3,0.179,362.843,0.193,0.430,703.125,3060872568,644799152,0.50051500,0.00051500,200000.0
normal-seeded,1,200000,3,0.164,607.536,0.067,0.207,640.625,2902433736,644753200,0.50015000,0.00015000,200000.0
normal-seeded,1,200000,4,0.126,650.405,0.069,0.228,656.250,3142433672,644727696,0.50059500,0.00059500,200000.0
normal-seeded,2,200000,4,0.239,335.725,0.219,0.481,687.500,2984072408,644763888,0.49936500,0.00063500,200000.0
normal-seeded,4,200000,4,0.243,288.905,0.250,0.554,984.375,3058539360,644814800,0.49942500,0.00057500,200000.0
normal-seeded,8,200000,4,0.326,281.343,0.134,0.544,2187.500,3137873040,644926016,0.49951000,0.00049000,200000.0
coin-seeded,1,1000000,0,0.099,174.308,0.095,0.247,171.875,1208004816,644580120,0.29999500,0.00000500,1000000.0
coin-seeded,2,1000000,0,0.284,109.662,0.220,0.416,218.750,1208014568,644938872,0.30000000,0.00000000,1000000.0
coin-seeded,4,1000000,0,0.191,109.708,0.236,0.430,437.500,1208023592,644620016,0.29942300,0.00057700,1000000.0
coin-seeded,8,1000000,0,0.275,106.476,0.210,0.748,843.750,1208041176,644625504,0.30009600,0.00009600,1000000.0
coin-seeded,8,1000000,1,0.377,107.027,0.409,0.794,859.375,1208041384,644628896,0.30031400,0.00031400,1000000.0
coin-seeded,4,1000000,1,0.236,108.210,0.236,0.431,437.500,1208023656,644618944,0.29950800,0.00049200,1000000.0
coin-seeded,2,1000000,1,0.160,106.662,0.216,0.339,218.750,1208015424,644612480,0.29912200,0.00087800,1000000.0
coin-seeded,1,1000000,1,0.077,174.344,0.073,0.178,265.625,1208006528,644611968,0.30035500,0.00035500,1000000.0
coin-seeded,1,1000000,2,0.145,175.629,0.072,0.180,187.500,1208004816,644609904,0.29977900,0.00022100,1000000.0
coin-seeded,2,1000000,2,0.202,107.937,0.229,0.383,218.750,1208014568,644611008,0.30050300,0.00050300,1000000.0
coin-seeded,4,1000000,2,0.218,106.526,0.210,0.513,328.125,1208023440,644618304,0.30067700,0.00067700,1000000.0
coin-seeded,8,1000000,2,0.257,106.529,0.147,0.345,750.000,1208041320,644633856,0.30045600,0.00045600,1000000.0
coin-seeded,8,1000000,3,0.207,106.047,0.129,0.343,875.000,1208041304,644646368,0.29893600,0.00106400,1000000.0
coin-seeded,4,1000000,3,0.229,107.665,0.194,0.350,437.500,1208023656,644632416,0.29932200,0.00067800,1000000.0
coin-seeded,2,1000000,3,0.126,106.485,0.164,0.276,218.750,1208014728,644624752,0.30001300,0.00001300,1000000.0
coin-seeded,1,1000000,3,0.077,174.114,0.074,0.198,171.875,1208004896,644633392,0.29968800,0.00031200,1000000.0
coin-seeded,1,1000000,4,0.111,173.899,0.074,0.173,187.500,1208004816,644636528,0.30010800,0.00010800,1000000.0
coin-seeded,2,1000000,4,0.198,106.706,0.198,0.325,593.750,1208014544,644637632,0.29996600,0.00003400,1000000.0
coin-seeded,4,1000000,4,0.214,106.214,0.261,0.381,437.500,1208023528,644638368,0.30012500,0.00012500,1000000.0
coin-seeded,8,1000000,4,0.252,105.841,0.101,0.401,765.625,1208042768,644663776,0.30002600,0.00002600,1000000.0
evidence-seeded,1,1000000,0,0.125,202.274,0.078,0.191,203.125,1352004920,644970880,0.63157341,0.00000554,656362.2
evidence-seeded,2,1000000,0,0.202,120.745,0.271,0.621,250.000,1352014776,644661512,0.63157895,0.00000000,656363.6
evidence-seeded,4,1000000,0,0.223,118.095,0.152,0.323,484.375,1352025520,644659808,0.63093903,0.00063992,656200.8
evidence-seeded,8,1000000,0,0.269,121.048,0.299,0.698,890.625,1352043472,644685744,0.63168530,0.00010636,656390.8
evidence-seeded,8,1000000,1,0.319,120.487,0.263,0.658,875.000,1352044624,644708912,0.63192670,0.00034775,656452.5
evidence-seeded,4,1000000,1,0.217,119.578,0.213,0.368,500.000,1352024488,644700128,0.63103337,0.00054558,656224.8
evidence-seeded,2,1000000,1,0.239,118.196,0.174,0.354,250.000,1352014912,644681776,0.63060474,0.00097420,656116.1
evidence-seeded,1,1000000,1,0.073,203.644,0.080,0.209,203.125,1352004968,644705392,0.63197208,0.00039313,656464.1
evidence-seeded,1,1000000,2,0.119,204.674,0.070,0.187,203.125,1352004920,644705152,0.63133399,0.00024496,656301.2
evidence-seeded,2,1000000,2,0.203,120.407,0.197,0.374,250.000,1352014752,644719072,0.63213585,0.00055690,656506.0
evidence-seeded,4,1000000,2,0.275,136.852,0.258,0.658,562.500,1352023952,644722240,0.63232828,0.00074934,656555.4
evidence-seeded,8,1000000,2,0.285,126.809,0.254,0.778,750.000,1352041960,644753408,0.63208385,0.00050490,656492.7
evidence-seeded,8,1000000,3,0.321,119.960,0.229,0.526,953.125,1352042112,644757296,0.63039802,0.00118093,656063.9
evidence-seeded,4,1000000,3,0.187,120.573,0.259,0.364,437.500,1352024072,644750272,0.63082690,0.00075205,656172.4
evidence-seeded,2,1000000,3,0.154,121.319,0.202,0.362,234.375,1352014912,644736048,0.63159335,0.00001440,656367.3
evidence-seeded,1,1000000,3,0.122,205.621,0.073,0.199,218.750,1352004968,644753856,0.63123307,0.00034588,656275.5
evidence-seeded,1,1000000,4,0.103,202.700,0.070,0.171,187.500,1352004920,644755312,0.63169859,0.00011965,656394.2
evidence-seeded,2,1000000,4,0.398,120.973,0.231,0.337,546.875,1352017784,644763104,0.63154127,0.00003768,656354.0
evidence-seeded,4,1000000,4,0.278,119.091,0.222,0.389,515.625,1352023880,644766768,0.63171742,0.00013848,656399.0
evidence-seeded,8,1000000,4,0.240,126.703,0.126,0.623,1000.000,1352041984,644788624,0.63160776,0.00002881,656371.0
mh,1,1000000,0,0.664,740.920,22.915,0.285,796.875,2552691200,677977712,0.29979100,0.00020900,16595.8
mh,2,1000000,0,1.055,430.250,21.734,0.343,890.625,2554745656,678001280,0.29452600,0.00547400,17060.5
mh,4,1000000,0,0.904,333.946,22.344,0.381,1359.375,2558931080,678052304,0.30161100,0.00161100,16776.1
mh,8,1000000,0,0.808,422.669,20.846,0.521,3390.625,2567211200,677897616,0.29925000,0.00075000,17110.6
mh,8,1000000,1,0.871,431.937,20.334,0.548,3390.625,2567199688,646494336,0.30187700,0.00187700,17578.6
mh,4,1000000,1,0.895,334.798,21.549,0.372,1625.000,2558952456,677865088,0.29751300,0.00248700,17208.8
mh,2,1000000,1,0.884,433.466,21.510,0.398,953.125,2554690320,678048304,0.29810100,0.00189900,16601.8
mh,1,1000000,1,0.532,761.029,24.040,0.270,781.250,2552642256,678002384,0.30416300,0.00416300,16885.1
mh,1,1000000,2,0.558,749.289,21.150,0.265,781.250,2552704256,677998336,0.29837700,0.00162300,16628.2
mh,2,1000000,2,0.697,428.385,23.671,0.320,875.000,2554681240,678024304,0.29832500,0.00167500,16440.4
mh,4,1000000,2,0.892,333.852,21.583,0.352,1343.750,2558947808,678070576,0.30172700,0.00172700,16762.1
mh,8,1000000,2,0.943,432.206,20.362,0.466,3375.000,2567191600,677949280,0.30175200,0.00175200,17125.1
mh,8,1000000,3,0.830,424.189,19.871,0.485,3265.625,2549228952,646472400,0.29926000,0.00074000,17191.0
mh,4,1000000,3,0.965,336.012,15.535,0.343,1390.625,2486896160,677916752,0.30380800,0.00380800,16984.2
mh,2,1000000,3,0.821,429.378,14.149,0.356,859.375,2482696680,678073952,0.29876000,0.00124000,16391.0
mh,1,1000000,3,0.499,735.913,14.986,0.266,765.625,2480692720,678026992,0.30107700,0.00107700,17393.2
mh,1,1000000,4,0.482,739.962,15.488,0.234,750.000,2480714384,678033360,0.30322500,0.00322500,18259.0
mh,2,1000000,4,0.726,423.489,14.954,0.271,859.375,2482727208,669647472,0.29800200,0.00199800,17621.3
mh,4,1000000,4,0.907,332.890,14.322,0.376,1343.750,2486954520,678084192,0.30557300,0.00557300,16645.9
mh,8,1000000,4,1.017,420.030,13.736,0.398,3312.500,2495128992,679015040,0.30492700,0.00492700,17374.7
