"vectorProfile","kind","group","detail","site","count","value"
"vectorProfile","allocation","diagnostics","[B","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:75","1","463064"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$1:39","49","268086272"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$5:63","42","311652216"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6$$anonfun$1:71","95","582558400"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8:74","55","297157232"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:166","647","4039768176"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:167","649","4704442584"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:199","413","1792973392"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.ess:213","3","12849280"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize$$anonfun$1:145","233","1826733968"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:124","53","490813728"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:126","73","381432872"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:145","218","2067147424"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:217","74","588340224"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:114","263","1409609264"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:40","52","321667192"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:44","37","171914224"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:54","33","207771080"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:67","35","595194008"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:69","2","21181816"
"vectorProfile","allocation","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:125","106","599068608"
"vectorProfile","allocation","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:127","16","163475080"
"vectorProfile","allocation","diagnostics","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:125","85","838202128"
"vectorProfile","allocation","diagnostics","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:54","41","322239408"
