"vectorProfile","kind","group","detail","site","count","value"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$1:38","16","206630160"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$5:62","33","122029472"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6$$anonfun$1:70","43","319735680"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8:73","25","134435280"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:163","220","3375875512"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:168","725","9208626848"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:171","609","6367822024"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:173","103","1347094856"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize$$anonfun$1:144","141","1659817528"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:123","53","1242866040"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:125","66","1237436296"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:144","145","1716809096"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rhat:149","1","10161136"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:184","49","639571848"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:113","163","1883005872"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:39","25","970544544"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:43","28","587816096"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:53","23","397454064"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:66","23","615508976"
"vectorProfile","allocation","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:124","80","943746464"
"vectorProfile","allocation","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:126","13","106052448"
"vectorProfile","allocation","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:53","1","16703840"
"vectorProfile","allocation","diagnostics","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:124","66","1488425248"
"vectorProfile","allocation","diagnostics","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:53","32","607103360"
"vectorProfile","allocation","diagnostics","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:66","38","521630728"
"vectorProfile","allocation","diagnostics","[Lorg.apache.commons.math3.complex.Complex;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:168","207","2260716000"
"vectorProfile","allocation","diagnostics","[Lorg.apache.commons.math3.complex.Complex;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:170","100","1549851688"
"vectorProfile","allocation","diagnostics","[Lorg.apache.commons.math3.complex.Complex;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:171","170","1858925136"
"vectorProfile","allocation","diagnostics","[Lorg.apache.commons.math3.complex.Complex;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:173","61","527098048"
"vectorProfile","allocation","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:144","2","4396960"
"vectorProfile","allocation","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:113","10","118106880"
