"vectorProfile","kind","group","detail","site","count","value"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$1:39","45","466936528"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$5:63","35","476532432"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6$$anonfun$1:71","72","483620824"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8:74","48","690806488"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:223","619","3605763096"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:224","693","4466236216"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:256","492","2287990000"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.ess:270","3","11915256"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize$$anonfun$1:202","221","1417282280"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:181","82","608086912"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:183","116","1007197136"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:202","249","1835555008"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rhat:206","1","4189024"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rhat:207","1","1462064"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","58","447729272"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.sortedValues:125","67","760159448"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:114","307","1507376984"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:40","39","610861752"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:44","26","248484520"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:69","7","41717832"
"vectorProfile","allocation","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:184","34","93078240"
