"calibration","geometry","strategy","round","seed","method","query","truth","estimate","error","fullWidth","covered","criteriaMet","reason","drawsPerChain","productionSeconds","pilotSeconds","totalSeconds","rHat","meanEss","meanEssPerTotalSecond","acceptance","pilotStatus","covariance"
"calibration","independent-2","default","0","97103","fixed","square0","1.0","1.004200995410939","0.00420099541093899","0.05333378778312082","true","true","FixedBudget","12000","0.2588251","0.0","0.2588251","1.0002105758252693","16114.398620399046","62259.79868412703","1.0","NotUsed",""
"calibration","independent-2","default","0","97103","fixed","square1","1.0","0.9941101409258045","-0.00588985907419548","0.05570038770091503","true","true","FixedBudget","12000","0.2588251","0.0","0.2588251","1.0001841384500214","15722.184702950297","60744.43592584451","1.0","NotUsed",""
"calibration","independent-2","default","0","97103","fixed","x0","0.0","9.98651805427797E-4","9.98651805427797E-4","0.039143377650589374","true","true","FixedBudget","12000","0.2588251","0.0","0.2588251","1.0000782367762933","15872.757871397449","61326.19236464103","1.0","NotUsed",""
"calibration","independent-2","default","0","97103","fixed","x1","0.0","-0.009542907136506434","-0.009542907136506434","0.0377846750602651","true","true","FixedBudget","12000","0.2588251","0.0","0.2588251","1.0003861434662717","15770.217009072778","60930.01416428615","1.0","NotUsed",""
"calibration","independent-2","default","0","97103","precision","square0","1.0","0.9859725185177046","-0.014027481482295379","0.12728757447635064","true","true","PrecisionReached","2000","0.0370767","0.0","0.0370767","1.000889556041958","2700.897535294015","72846.22243333455","1.0","NotUsed",""
"calibration","independent-2","default","0","97103","precision","square1","1.0","1.012053984155417","0.01205398415541703","0.1434283987244646","true","true","PrecisionReached","2000","0.0370767","0.0","0.0370767","1.0012610979743146","2528.4084326982415","68193.99872961298","1.0","NotUsed",""
"calibration","independent-2","default","0","97103","precision","x0","0.0","0.01518980963723171","0.01518980963723171","0.09959461047433067","true","true","PrecisionReached","2000","0.0370767","0.0","0.0370767","1.0008922851067494","2783.215103507803","75066.41916642536","1.0","NotUsed",""
"calibration","independent-2","default","0","97103","precision","x1","0.0","-0.01364960846682041","-0.01364960846682041","0.09495648833343917","true","true","PrecisionReached","2000","0.0370767","0.0","0.0370767","1.0014636032549877","2588.200993344418","69806.67085647909","1.0","NotUsed",""
"calibration","independent-2","joint-prior","0","97103","fixed","square0","1.0","1.000646895415427","6.468954154270623E-4","0.030890644392830367","true","true","FixedBudget","12000","0.2864449","0.0","0.2864449","0.9999686941253823","48000.0","167571.49455270456","1.0","NotUsed",""
"calibration","independent-2","joint-prior","0","97103","fixed","square1","1.0","0.9938582421943705","-0.006141757805629533","0.030941751300630777","true","true","FixedBudget","12000","0.2864449","0.0","0.2864449","1.0000006222977778","48000.0","167571.49455270456","1.0","NotUsed",""
"calibration","independent-2","joint-prior","0","97103","fixed","x0","0.0","0.004382645099035853","0.004382645099035853","0.022237717134828215","true","true","FixedBudget","12000","0.2864449","0.0","0.2864449","1.0000000198062393","48000.0","167571.49455270456","1.0","NotUsed",""
"calibration","independent-2","joint-prior","0","97103","fixed","x1","0.0","0.004194976033042863","0.004194976033042863","0.020797307955102148","true","true","FixedBudget","12000","0.2864449","0.0","0.2864449","0.9999986094370169","47670.62135516403","166421.60972376898","1.0","NotUsed",""
"calibration","independent-2","joint-prior","0","97103","precision","square0","1.0","0.999762629868908","-2.3737013109204064E-4","0.07017164427307754","true","true","PrecisionReached","2000","0.0416753","0.0","0.0416753","0.9999639806420705","7871.08566349376","188866.92269746732","1.0","NotUsed",""
"calibration","independent-2","joint-prior","0","97103","precision","square1","1.0","0.9992368168974337","-7.631831025662894E-4","0.07527471736171726","true","true","PrecisionReached","2000","0.0416753","0.0","0.0416753","1.000556949314005","8000.0","191960.2258412057","1.0","NotUsed",""
"calibration","independent-2","joint-prior","0","97103","precision","x0","0.0","-5.549594461473628E-4","-5.549594461473628E-4","0.05662639354655676","true","true","PrecisionReached","2000","0.0416753","0.0","0.0416753","1.0000263950074317","8000.0","191960.2258412057","1.0","NotUsed",""
"calibration","independent-2","joint-prior","0","97103","precision","x1","0.0","0.015000360905652821","0.015000360905652821","0.0577456474413129","true","true","PrecisionReached","2000","0.0416753","0.0","0.0416753","1.0003973877927792","8000.0","191960.2258412057","1.0","NotUsed",""
"calibration","independent-2","manual","0","97103","fixed","square0","1.0","0.982367674817765","-0.01763232518223501","0.07500710603493198","true","true","FixedBudget","12000","0.2741786","0.0","0.2741786","1.0003079995713196","7364.626199502515","26860.689344472965","0.5474375","NotUsed",""
"calibration","independent-2","manual","0","97103","fixed","square1","1.0","1.0133946332539745","0.013394633253974497","0.09069404721563433","true","true","FixedBudget","12000","0.2741786","0.0","0.2741786","1.000062631577135","5731.675351479707","20904.89685000838","0.5474375","NotUsed",""
"calibration","independent-2","manual","0","97103","fixed","x0","0.0","-1.1856070965832188E-4","-1.1856070965832188E-4","0.06621497957392043","true","true","FixedBudget","12000","0.2741786","0.0","0.2741786","1.0003265183955647","5067.97177157116","18484.198881937395","0.5474375","NotUsed",""
"calibration","independent-2","manual","0","97103","fixed","x1","0.0","-0.04004563535899752","-0.04004563535899752","0.07048598191643393","false","true","FixedBudget","12000","0.2741786","0.0","0.2741786","1.0005702769095433","4666.573013199196","17020.19418437178","0.5474375","NotUsed",""
"calibration","independent-2","manual","0","97103","precision","square0","1.0","0.9777331127069331","-0.022266887293066917","0.14210923948601012","true","true","PrecisionReached","4000","0.1118334","0.0","0.1118334","1.0007496204180137","2227.2490238553805","19915.77671657466","0.5475625000000001","NotUsed",""
"calibration","independent-2","manual","0","97103","precision","square1","1.0","0.9863251691025954","-0.013674830897404622","0.1562585544286541","true","true","PrecisionReached","4000","0.1118334","0.0","0.1118334","1.0004156663211827","1935.8913736957895","17310.493767477245","0.5475625000000001","NotUsed",""
"calibration","independent-2","manual","0","97103","precision","x0","0.0","-0.019183703991567214","-0.019183703991567214","0.11929552765176266","true","true","PrecisionReached","4000","0.1118334","0.0","0.1118334","1.002476099963608","1653.5141911165006","14785.51301414873","0.5475625000000001","NotUsed",""
"calibration","independent-2","manual","0","97103","precision","x1","0.0","-0.022041809279957914","-0.022041809279957914","0.11708753307208937","true","true","PrecisionReached","4000","0.1118334","0.0","0.1118334","1.001232731926063","1587.7011979282609","14197.02162259451","0.5475625000000001","NotUsed",""
"calibration","independent-2","calibrated","0","97103","fixed","square0","1.0","0.9879718227113754","-0.012028177288624597","0.07586502272808225","true","true","FixedBudget","12000","0.2741952","0.2018055","0.47600069999999994","1.000285906230891","7545.189210477389","15851.214526527776","0.5476041666666667","Accepted","1.0123927771080383|0.009764359587028301/0.009764359587028301|0.9964376501341875"
"calibration","independent-2","calibrated","0","97103","fixed","square1","1.0","0.9925228832214502","-0.007477116778549786","0.09113583410622525","true","true","FixedBudget","12000","0.2741952","0.2018055","0.47600069999999994","1.000270873899643","5555.626286121577","11671.466630451547","0.5476041666666667","Accepted","1.0123927771080383|0.009764359587028301/0.009764359587028301|0.9964376501341875"
"calibration","independent-2","calibrated","0","97103","fixed","x0","0.0","0.0030915376390396876","0.0030915376390396876","0.06906185842306622","true","true","FixedBudget","12000","0.2741952","0.2018055","0.47600069999999994","1.0004450322862024","5182.758553332062","10888.132209326714","0.5476041666666667","Accepted","1.0123927771080383|0.009764359587028301/0.009764359587028301|0.9964376501341875"
"calibration","independent-2","calibrated","0","97103","fixed","x1","0.0","-0.044049071568575404","-0.044049071568575404","0.06969388216313115","false","true","FixedBudget","12000","0.2741952","0.2018055","0.47600069999999994","1.0007010299320631","4743.571283037452","9965.471233629389","0.5476041666666667","Accepted","1.0123927771080383|0.009764359587028301/0.009764359587028301|0.9964376501341875"
"calibration","independent-2","calibrated","0","97103","precision","square0","1.0","0.9813498156384823","-0.018650184361517663","0.13322314892130643","true","true","PrecisionReached","4000","0.1126267","0.2018055","0.3144322","1.0003847920696651","2531.8400732724963","8052.101767161557","0.548","Accepted","1.0123927771080383|0.009764359587028301/0.009764359587028301|0.9964376501341875"
"calibration","independent-2","calibrated","0","97103","precision","square1","1.0","0.9547553678580639","-0.04524463214193608","0.1453265464296074","true","true","PrecisionReached","4000","0.1126267","0.2018055","0.3144322","1.0011298137029627","2043.1766091128575","6497.9878304857375","0.548","Accepted","1.0123927771080383|0.009764359587028301/0.009764359587028301|0.9964376501341875"
"calibration","independent-2","calibrated","0","97103","precision","x0","0.0","-0.02304777189290963","-0.02304777189290963","0.11539681010748735","true","true","PrecisionReached","4000","0.1126267","0.2018055","0.3144322","1.001991995147681","1761.5668042304244","5602.374070564098","0.548","Accepted","1.0123927771080383|0.009764359587028301/0.009764359587028301|0.9964376501341875"
"calibration","independent-2","calibrated","0","97103","precision","x1","0.0","-0.02137515589145378","-0.02137515589145378","0.11061164209070311","true","true","PrecisionReached","4000","0.1126267","0.2018055","0.3144322","1.0027592800293985","1591.2179655351092","5060.607550801442","0.548","Accepted","1.0123927771080383|0.009764359587028301/0.009764359587028301|0.9964376501341875"
"calibration","correlated-2","default","0","97103","fixed","square0","1.0","1.0144799955132373","0.01447999551323731","0.1005477816229736","true","true","FixedBudget","12000","0.2507701","0.0","0.2507701","1.000493905599871","4510.209614164859","17985.436119237736","0.7495","NotUsed",""
"calibration","correlated-2","default","0","97103","fixed","square1","1.0","1.0046290880728777","0.004629088072877652","0.09713420215479425","true","true","FixedBudget","12000","0.2507701","0.0","0.2507701","1.0002420142753694","4173.029675433193","16640.85820212694","0.7495","NotUsed",""
"calibration","correlated-2","default","0","97103","fixed","x0","0.0","0.020363721166538284","0.020363721166538284","0.07276157695207924","true","true","FixedBudget","12000","0.2507701","0.0","0.2507701","1.0009824951882749","3924.915239344171","15651.448236229802","0.7495","NotUsed",""
"calibration","correlated-2","default","0","97103","fixed","x1","0.0","0.012994830441290128","0.012994830441290128","0.07060052295605661","true","true","FixedBudget","12000","0.2507701","0.0","0.2507701","1.0009870651015296","4233.412939844368","16881.64952617704","0.7495","NotUsed",""
"calibration","correlated-2","default","0","97103","precision","square0","1.0","1.0409498681632414","0.04094986816324142","0.21067262726283814","true","true","PrecisionReached","4000","0.102768","0.0","0.102768","1.0004562819511118","1006.7845893389424","9796.673958225736","0.7466250000000001","NotUsed",""
"calibration","correlated-2","default","0","97103","precision","square1","1.0","1.0148239246398532","0.014823924639853159","0.15781237395627826","true","true","PrecisionReached","4000","0.102768","0.0","0.102768","1.00244820741507","1409.8999588888023","13719.250728717134","0.7466250000000001","NotUsed",""
"calibration","correlated-2","default","0","97103","precision","x0","0.0","-0.001251700584337545","-0.001251700584337545","0.13490120872869743","true","true","PrecisionReached","4000","0.102768","0.0","0.102768","1.0076105237694823","969.9804449366835","9438.545509659461","0.7466250000000001","NotUsed",""
"calibration","correlated-2","default","0","97103","precision","x1","0.0","-0.017328878567920064","-0.017328878567920064","0.124502784124914","true","true","PrecisionReached","4000","0.102768","0.0","0.102768","1.0058455928306043","1187.1162533565587","11551.419248759912","0.7466250000000001","NotUsed",""
"calibration","correlated-2","joint-prior","0","97103","fixed","square0","1.0","1.013689144842549","0.013689144842548906","0.07574823271693504","true","true","FixedBudget","12000","0.2756548","0.0","0.2756548","1.00008893530091","8785.61516994749","31871.801869394225","0.7280208333333333","NotUsed",""
"calibration","correlated-2","joint-prior","0","97103","fixed","square1","1.0","1.002452938670835","0.0024529386708349588","0.06726702934742172","true","true","FixedBudget","12000","0.2756548","0.0","0.2756548","1.0002323155484727","9708.526939199317","35219.87260587996","0.7280208333333333","NotUsed",""
"calibration","correlated-2","joint-prior","0","97103","fixed","x0","0.0","0.0063536387288518625","0.0063536387288518625","0.04210063279035009","true","true","FixedBudget","12000","0.2756548","0.0","0.2756548","1.0001407403427685","13618.784486903694","49405.21437284493","0.7280208333333333","NotUsed",""
"calibration","correlated-2","joint-prior","0","97103","fixed","x1","0.0","0.007818888411341707","0.007818888411341707","0.04189056843062432","true","true","FixedBudget","12000","0.2756548","0.0","0.2756548","1.0002344352497785","13222.748052646626","47968.502825441916","0.7280208333333333","NotUsed",""
"calibration","correlated-2","joint-prior","0","97103","precision","square0","1.0","1.0117526468667017","0.011752646866701744","0.15672156905031945","true","true","PrecisionReached","2000","0.0439226","0.0","0.0439226","1.0003538047545162","1931.7965345803036","43981.834740664344","0.733625","NotUsed",""
"calibration","correlated-2","joint-prior","0","97103","precision","square1","1.0","0.982738187552646","-0.01726181244735403","0.12700430344662764","true","true","PrecisionReached","2000","0.0439226","0.0","0.0439226","1.0007899852156998","2639.0283273033824","60083.60906010533","0.733625","NotUsed",""
"calibration","correlated-2","joint-prior","0","97103","precision","x0","0.0","0.01950933802989907","0.01950933802989907","0.10023558304192454","true","true","PrecisionReached","2000","0.0439226","0.0","0.0439226","1.0023584292018208","2576.237295884683","58654.02539659954","0.733625","NotUsed",""
"calibration","correlated-2","joint-prior","0","97103","precision","x1","0.0","0.01858927787847242","0.01858927787847242","0.09924027301888166","true","true","PrecisionReached","2000","0.0439226","0.0","0.0439226","1.002373052001333","2636.064741362691","60016.136143185766","0.733625","NotUsed",""
"calibration","correlated-2","manual","0","97103","fixed","square0","1.0","0.9930921614648813","-0.006907838535118671","0.07870410632033496","true","true","FixedBudget","12000","0.282226","0.0","0.282226","1.0003856138445997","7070.703574167097","25053.338722042256","0.5502083333333333","NotUsed",""
"calibration","correlated-2","manual","0","97103","fixed","square1","1.0","0.9963364187964938","-0.003663581203506183","0.08842349941509565","true","true","FixedBudget","12000","0.282226","0.0","0.282226","1.000332228146417","6258.161244030427","22174.29026393893","0.5502083333333333","NotUsed",""
"calibration","correlated-2","manual","0","97103","fixed","x0","0.0","-2.553144399541907E-4","-2.553144399541907E-4","0.06763477688313368","true","true","FixedBudget","12000","0.282226","0.0","0.282226","1.0003922456579073","5208.471597071972","18454.9672853386","0.5502083333333333","NotUsed",""
"calibration","correlated-2","manual","0","97103","fixed","x1","0.0","-0.031883016550086185","-0.031883016550086185","0.06845177779998433","true","true","FixedBudget","12000","0.282226","0.0","0.282226","1.0003741652692162","4858.36417508863","17214.445781354767","0.5502083333333333","NotUsed",""
"calibration","correlated-2","manual","0","97103","precision","square0","1.0","0.9727658028635195","-0.027234197136480454","0.13603109756788223","true","true","PrecisionReached","4000","0.1133488","0.0","0.1133488","1.0009701673639806","2392.57191610385","21108.048043771527","0.548125","NotUsed",""
"calibration","correlated-2","manual","0","97103","precision","square1","1.0","0.9544592585576559","-0.0455407414423441","0.13774197346658645","true","true","PrecisionReached","4000","0.1133488","0.0","0.1133488","1.0005671350036216","2177.3274870081286","19209.09164462375","0.548125","NotUsed",""
"calibration","correlated-2","manual","0","97103","precision","x0","0.0","-0.025471904530977474","-0.025471904530977474","0.11634815123593345","true","true","PrecisionReached","4000","0.1133488","0.0","0.1133488","1.0016644951141542","1734.1950206932913","15299.632820932302","0.548125","NotUsed",""
"calibration","correlated-2","manual","0","97103","precision","x1","0.0","-0.035409455614810126","-0.035409455614810126","0.11214626448185865","true","true","PrecisionReached","4000","0.1133488","0.0","0.1133488","1.0033513576222661","1605.3625157811523","14163.030537430941","0.548125","NotUsed",""
"calibration","correlated-2","calibrated","0","97103","fixed","square0","1.0","0.9920078449535912","-0.007992155046408822","0.07692346473002651","true","true","FixedBudget","12000","0.2738589","0.1951199","0.46897880000000003","1.0002498362975576","7204.547195690089","15362.202290786041","0.5456666666666666","Accepted","1.0233296883961072|0.4877866544329833/0.4877866544329833|1.0050566205678992"
"calibration","correlated-2","calibrated","0","97103","fixed","square1","1.0","0.9897088530376437","-0.010291146962356335","0.08247971298519566","true","true","FixedBudget","12000","0.2738589","0.1951199","0.46897880000000003","1.0001896342340753","6563.952665792073","13996.267348954949","0.5456666666666666","Accepted","1.0233296883961072|0.4877866544329833/0.4877866544329833|1.0050566205678992"
"calibration","correlated-2","calibrated","0","97103","fixed","x0","0.0","-0.002919134084247599","-0.002919134084247599","0.06703542025139618","true","true","FixedBudget","12000","0.2738589","0.1951199","0.46897880000000003","1.000233931825892","5049.270556766798","10766.52197661557","0.5456666666666666","Accepted","1.0233296883961072|0.4877866544329833/0.4877866544329833|1.0050566205678992"
