fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-curved,0,6,1,6,gvm-em,Converged,800,3000,-1.3315658863387776,0.018667858926893988,0.034666666666666665,0.037333333333333336,115.9226,5.4861,3.9457,465
gvm-curved,0,6,1,5,gmm-chart-em,Fitted,800,3000,-2.818639417529707,0.028578452226610367,0.11233333333333333,0.037333333333333336,104.7664,7.0386,9.0068,0
gvm-curved,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.8095952882922672,0.02792189839224617,0.11233333333333333,0.037333333333333336,4.5135,9.8526,2.6803,0
gvm-curved,0,13,2,13,gvm-em,IterationLimit,800,3000,-1.3402837069405604,0.018995229635290996,0.03166666666666667,0.037333333333333336,334.6175,1.737,2.2328,13872
gvm-curved,0,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4237498797790535,0.032604570808875924,0.065,0.037333333333333336,70.1351,2.8118,2.3073,0
gvm-curved,0,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.412148213265401,0.03153498039818148,0.065,0.037333333333333336,41.9591,4.3878,1.0851,0
gvm-curved,0,27,4,27,gvm-em,IterationLimit,800,3000,-1.3440664581485147,0.01896939065086087,0.034333333333333334,0.037333333333333336,507.8706,1.625,0.7605,27449
gvm-curved,0,27,4,23,gmm-chart-em,Fitted,800,3000,-1.690499395175172,0.028177361833977104,0.034,0.037333333333333336,72.7791,2.767,0.8982,0
gvm-curved,0,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.6807904402955516,0.02693614411683663,0.034,0.037333333333333336,58.4792,4.4706,0.7635,0
gvm-curved,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.846473799364772,0.0242690976186356,0.121,0.037333333333333336,1.2994,1.8055,0.7068,0
gvm-curved,1,6,1,5,gmm-chart-em,Fitted,800,3000,-2.8591165054174206,0.025281118311139657,0.121,0.037333333333333336,1.3862,0.9346,0.7426,0
gvm-curved,1,6,1,6,gvm-em,Converged,800,3000,-1.3606877175612513,0.01811127281163157,0.04133333333333333,0.037333333333333336,7.6093,0.993,0.6308,216
gvm-curved,1,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.443044620961087,0.029063416987640568,0.08233333333333333,0.037333333333333336,29.9933,2.3485,0.6973,0
gvm-curved,1,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4629258305581736,0.030707954803924895,0.083,0.037333333333333336,26.3777,1.2416,0.7097,0
gvm-curved,1,13,2,13,gvm-em,IterationLimit,800,3000,-1.363889769765293,0.018456443849533922,0.037333333333333336,0.037333333333333336,248.9723,1.0608,0.7187,13421
gvm-curved,1,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.8965245544555525,0.02929577497854258,0.05266666666666667,0.037333333333333336,20.2741,3.7756,0.709,0
gvm-curved,1,27,4,23,gmm-chart-em,Fitted,800,3000,-2.03104478669229,0.0454019417812136,0.05266666666666667,0.037333333333333336,19.6174,2.2772,0.7242,0
gvm-curved,1,27,4,27,gvm-em,IterationLimit,800,3000,-1.3781796325503437,0.01909098864769835,0.036,0.037333333333333336,478.498,1.4793,0.6861,27091
gvm-curved,2,6,1,6,gvm-em,Converged,800,3000,-1.370146595654143,0.018742685310893303,0.042666666666666665,0.036333333333333336,9.7883,0.7918,0.6253,345
gvm-curved,2,6,1,5,gmm-chart-em,Fitted,800,3000,-2.853457585536954,0.02814570114889971,0.14,0.036333333333333336,1.3111,0.7956,0.5465,0
gvm-curved,2,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.837315874802259,0.026940923292964367,0.14,0.036333333333333336,1.1437,1.2954,0.6061,0
gvm-curved,2,13,2,13,gvm-em,IterationLimit,800,3000,-1.3780681313149883,0.019449695220464185,0.03666666666666667,0.036333333333333336,250.6068,0.9303,0.6656,13856
gvm-curved,2,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4705233726180227,0.03305621850894371,0.07166666666666667,0.036333333333333336,12.646,1.4628,0.6362,0
gvm-curved,2,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4616369537498213,0.03252610200375879,0.07166666666666667,0.036333333333333336,12.5424,2.2803,0.6777,0
gvm-curved,2,27,4,27,gvm-em,IterationLimit,800,3000,-1.38865121468682,0.019418755565135646,0.043,0.036333333333333336,478.0713,1.4794,0.5459,27144
gvm-curved,2,27,4,23,gmm-chart-em,Fitted,800,3000,-1.7403421113821451,0.02895366731280407,0.03666666666666667,0.036333333333333336,85.1826,2.3018,0.6478,0
gvm-curved,2,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.7257749893793306,0.027689893731916725,0.036333333333333336,0.036333333333333336,86.398,4.1326,0.6041,0
gvm-curved,3,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.8092181546870596,0.025778278241270044,0.12433333333333334,0.03966666666666667,1.0945,1.3063,0.5296,0
gvm-curved,3,6,1,5,gmm-chart-em,Fitted,800,3000,-2.8176865780889626,0.026454469500886316,0.12433333333333334,0.03966666666666667,1.1887,0.7991,0.5431,0
gvm-curved,3,6,1,6,gvm-em,Converged,800,3000,-1.3344195007614381,0.017922078882732624,0.035,0.03966666666666667,5.9156,0.7873,0.5313,216
gvm-curved,3,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.410763728628607,0.03036849875690445,0.07133333333333333,0.03966666666666667,12.8455,2.1304,0.5566,0
gvm-curved,3,13,2,11,gmm-chart-em,Fitted,800,3000,-2.422053590020283,0.031326036961522676,0.07166666666666667,0.03966666666666667,15.6752,1.3682,0.5861,0
gvm-curved,3,13,2,13,gvm-em,IterationLimit,800,3000,-1.3383761929701619,0.01826439572134696,0.037333333333333336,0.03966666666666667,244.8634,0.9693,0.682,13507
gvm-curved,3,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.6672748930063044,0.026076837648215202,0.03933333333333333,0.03966666666666667,39.0969,3.9416,0.7214,0
gvm-curved,3,27,4,23,gmm-chart-em,Fitted,800,3000,-1.6782301415473355,0.02726249208299986,0.039,0.03966666666666667,37.2438,2.1891,0.5698,0
gvm-curved,3,27,4,27,gvm-em,IterationLimit,800,3000,-1.3463534484624151,0.018974656517885165,0.034333333333333334,0.03966666666666667,338.2269,1.4931,0.5536,19298
gvm-curved,4,6,1,6,gvm-em,Converged,800,3000,-1.3730403619563059,0.019226877626862038,0.043,0.04533333333333334,5.2265,0.8529,0.4745,216
