fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-curved,0,6,1,6,gvm-em,Converged,800,3000,-1.3315658863387776,0.018667858926893988,0.034666666666666665,0.037333333333333336,140.2226,5.4451,3.9259,465
gvm-curved,0,6,1,5,gmm-chart-em,Fitted,800,3000,-2.818639417529707,0.028578452226610367,0.11233333333333333,0.037333333333333336,111.9474,7.4382,9.5367,0
gvm-curved,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.8095952882922672,0.02792189839224617,0.11233333333333333,0.037333333333333336,4.978,10.6403,3.2269,0
gvm-curved,0,13,2,13,gvm-em,IterationLimit,800,3000,-1.3402837069405604,0.018995229635290996,0.03166666666666667,0.037333333333333336,360.2483,1.8461,2.1402,13872
gvm-curved,0,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4237498797790535,0.032604570808875924,0.065,0.037333333333333336,67.0949,2.7913,2.3161,0
gvm-curved,0,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.412148213265401,0.03153498039818148,0.065,0.037333333333333336,48.2258,4.7211,1.3014,0
gvm-curved,0,27,4,27,gvm-em,IterationLimit,800,3000,-1.3440664581485147,0.01896939065086087,0.034333333333333334,0.037333333333333336,507.0336,1.5762,0.7379,27449
gvm-curved,0,27,4,23,gmm-chart-em,Fitted,800,3000,-1.690499395175172,0.028177361833977104,0.034,0.037333333333333336,72.761,3.4564,1.2942,0
gvm-curved,0,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.6807904402955516,0.02693614411683663,0.034,0.037333333333333336,65.8892,4.8657,0.9673,0
gvm-curved,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.846473799364772,0.0242690976186356,0.121,0.037333333333333336,1.5729,1.9039,0.8315,0
gvm-curved,1,6,1,5,gmm-chart-em,Fitted,800,3000,-2.8591165054174206,0.025281118311139657,0.121,0.037333333333333336,1.6401,1.0037,0.7623,0
gvm-curved,1,6,1,6,gvm-em,Converged,800,3000,-1.3606877175612513,0.01811127281163157,0.04133333333333333,0.037333333333333336,8.8075,1.1608,0.7104,216
gvm-curved,1,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.443044620961087,0.029063416987640568,0.08233333333333333,0.037333333333333336,33.0308,2.4874,0.8801,0
gvm-curved,1,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4629258305581736,0.030707954803924895,0.083,0.037333333333333336,27.3073,1.247,0.729,0
gvm-curved,1,13,2,13,gvm-em,IterationLimit,800,3000,-1.363889769765293,0.018456443849533922,0.037333333333333336,0.037333333333333336,251.4872,0.9819,0.7042,13421
gvm-curved,1,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.8965245544555525,0.02929577497854258,0.05266666666666667,0.037333333333333336,19.6657,3.7661,0.7447,0
gvm-curved,1,27,4,23,gmm-chart-em,Fitted,800,3000,-2.03104478669229,0.0454019417812136,0.05266666666666667,0.037333333333333336,19.1569,2.1834,0.7207,0
gvm-curved,1,27,4,27,gvm-em,IterationLimit,800,3000,-1.3781796325503437,0.01909098864769835,0.036,0.037333333333333336,485.6285,1.4933,0.7125,27091
gvm-curved,2,6,1,6,gvm-em,Converged,800,3000,-1.370146595654143,0.018742685310893303,0.042666666666666665,0.036333333333333336,8.2386,0.761,0.6053,345
gvm-curved,2,6,1,5,gmm-chart-em,Fitted,800,3000,-2.853457585536954,0.02814570114889971,0.14,0.036333333333333336,1.2922,0.7525,0.5353,0
gvm-curved,2,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.837315874802259,0.026940923292964367,0.14,0.036333333333333336,1.1898,1.2489,0.5271,0
gvm-curved,2,13,2,13,gvm-em,IterationLimit,800,3000,-1.3780681313149883,0.019449695220464185,0.03666666666666667,0.036333333333333336,260.3708,0.9605,0.6287,13856
gvm-curved,2,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4705233726180227,0.03305621850894371,0.07166666666666667,0.036333333333333336,12.9436,1.2759,0.5799,0
gvm-curved,2,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4616369537498213,0.03252610200375879,0.07166666666666667,0.036333333333333336,12.686,2.2801,0.5746,0
gvm-curved,2,27,4,27,gvm-em,IterationLimit,800,3000,-1.38865121468682,0.019418755565135646,0.043,0.036333333333333336,484.7919,1.5226,0.5813,27144
gvm-curved,2,27,4,23,gmm-chart-em,Fitted,800,3000,-1.7403421113821451,0.02895366731280407,0.03666666666666667,0.036333333333333336,81.5337,2.1817,0.6687,0
gvm-curved,2,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.7257749893793306,0.027689893731916725,0.036333333333333336,0.036333333333333336,87.45,4.2149,0.6131,0
gvm-curved,3,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.8092181546870596,0.025778278241270044,0.12433333333333334,0.03966666666666667,1.1393,1.3081,0.5497,0
gvm-curved,3,6,1,5,gmm-chart-em,Fitted,800,3000,-2.8176865780889626,0.026454469500886316,0.12433333333333334,0.03966666666666667,1.1398,0.8004,0.55,0
gvm-curved,3,6,1,6,gvm-em,Converged,800,3000,-1.3344195007614381,0.017922078882732624,0.035,0.03966666666666667,5.816,0.763,0.5506,216
gvm-curved,3,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.410763728628607,0.03036849875690445,0.07133333333333333,0.03966666666666667,12.4392,2.0675,0.5535,0
gvm-curved,3,13,2,11,gmm-chart-em,Fitted,800,3000,-2.422053590020283,0.031326036961522676,0.07166666666666667,0.03966666666666667,15.1118,1.2915,0.571,0
gvm-curved,3,13,2,13,gvm-em,IterationLimit,800,3000,-1.3383761929701619,0.01826439572134696,0.037333333333333336,0.03966666666666667,249.7803,0.9631,0.6688,13507
gvm-curved,3,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.6672748930063044,0.026076837648215202,0.03933333333333333,0.03966666666666667,39.0709,3.9621,0.5979,0
gvm-curved,3,27,4,23,gmm-chart-em,Fitted,800,3000,-1.6782301415473355,0.02726249208299986,0.039,0.03966666666666667,37.0279,2.1942,0.6264,0
gvm-curved,3,27,4,27,gvm-em,IterationLimit,800,3000,-1.3463534484624151,0.018974656517885165,0.034333333333333334,0.03966666666666667,340.6495,1.495,0.5868,19298
gvm-curved,4,6,1,6,gvm-em,Converged,800,3000,-1.3730403619563059,0.019226877626862038,0.043,0.04533333333333334,5.2705,0.7209,0.5091,216
gvm-curved,4,6,1,5,gmm-chart-em,Fitted,800,3000,-2.8806264623151794,0.030532130150447225,0.11766666666666667,0.04533333333333334,1.3145,0.7605,0.5052,0
gvm-curved,4,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.8650205327758194,0.029434333993545687,0.11766666666666667,0.04533333333333334,1.122,1.2566,0.4967,0
gvm-curved,4,13,2,13,gvm-em,Converged,800,3000,-1.3808378059083646,0.019757248149426844,0.039,0.04533333333333334,229.9046,0.9964,0.6509,12414
gvm-curved,4,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4985532793339496,0.034793675212560535,0.069,0.04533333333333334,21.6443,1.3922,0.635,0
gvm-curved,4,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4520705407589207,0.03169947429068578,0.069,0.04533333333333334,20.7615,2.3543,0.6025,0
gvm-curved,4,27,4,27,gvm-em,IterationLimit,800,3000,-1.3975289877982568,0.021063825754159608,0.029666666666666668,0.04533333333333334,476.5588,1.5031,0.5977,27048
gvm-curved,4,27,4,23,gmm-chart-em,Fitted,800,3000,-1.7653894516115847,0.030482828400610715,0.025333333333333333,0.04533333333333334,32.4758,2.096,0.5606,0
