fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-curved,0,6,1,6,gvm-em,Converged,800,3000,-1.3315658863387776,0.018667858926893988,0.034666666666666665,0.037333333333333336,115.8952,4.654,3.544,465
gvm-curved,0,6,1,5,gmm-chart-em,Fitted,800,3000,-2.818639417529707,0.028578452226610367,0.11233333333333333,0.037333333333333336,104.933,7.1404,8.8867,0
gvm-curved,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.8095952882922672,0.02792189839224617,0.11233333333333333,0.037333333333333336,4.5713,9.9883,2.8169,0
gvm-curved,0,13,2,13,gvm-em,IterationLimit,800,3000,-1.3402837069405604,0.018995229635290996,0.03166666666666667,0.037333333333333336,328.0883,1.6472,1.9529,13872
gvm-curved,0,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4237498797790535,0.032604570808875924,0.065,0.037333333333333336,68.6531,2.8471,2.325,0
gvm-curved,0,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.412148213265401,0.03153498039818148,0.065,0.037333333333333336,47.6068,4.8324,1.1379,0
gvm-curved,0,27,4,27,gvm-em,IterationLimit,800,3000,-1.3440664581485147,0.01896939065086087,0.034333333333333334,0.037333333333333336,502.8356,1.5952,0.6919,27449
gvm-curved,0,27,4,23,gmm-chart-em,Fitted,800,3000,-1.690499395175172,0.028177361833977104,0.034,0.037333333333333336,55.8737,2.7224,0.9674,0
gvm-curved,0,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.6807904402955516,0.02693614411683663,0.034,0.037333333333333336,46.1427,4.7549,0.7877,0
gvm-curved,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.846473799364772,0.0242690976186356,0.121,0.037333333333333336,1.1612,1.7867,0.7214,0
gvm-curved,1,6,1,5,gmm-chart-em,Fitted,800,3000,-2.8591165054174206,0.025281118311139657,0.121,0.037333333333333336,1.3786,0.9403,0.691,0
gvm-curved,1,6,1,6,gvm-em,Converged,800,3000,-1.3606877175612513,0.01811127281163157,0.04133333333333333,0.037333333333333336,8.8115,1.0209,0.638,216
gvm-curved,1,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.443044620961087,0.029063416987640568,0.08233333333333333,0.037333333333333336,26.3007,2.3709,0.7178,0
gvm-curved,1,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4629258305581736,0.030707954803924895,0.083,0.037333333333333336,22.8487,1.3346,0.7528,0
gvm-curved,1,13,2,13,gvm-em,IterationLimit,800,3000,-1.363889769765293,0.018456443849533922,0.037333333333333336,0.037333333333333336,246.1251,0.9622,0.6426,13421
