"caseIndex","revision","runtimeHash","osPeakSource","osPeakBytes","recordingHash","warmup0Seconds","warmup1Seconds","resourceStudy","kind","variant","draws","workers","jobs","round","mode","seed","wallSeconds","cpuSeconds","constructionSeconds","samplingSeconds","diagnosticsSeconds","gcMillis","compilationMillis","heapBeforeBytes","heapAtReturnBytes","sumHeapPoolPeaksBytes","heapRetainedBytes","gcBeforeObserved","gcAfterObserved","storedValues","evaluations","fingerprints","callbackWeight","vectorWeight","diagnosticWeight","graphWeight","otherWeight","unknownWeight","allocationSamples","truncatedSamples","lostBytes","compilationEvents","deoptimizationEvents"
"0","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","782405632","none","0.524864501","0.3293234","row","gaussian32","reference","4000","1","single","0","plain","420013","0.2981067","0.328125","3.9E-5","0.0912727","0.2014388","3","18","2805096","327211816","662756136","17829528","true","true","512000","138723","fb030bc811389f4cc0c40b053f280c25c0c5e58babb6d5eb761947efb8511783","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"1","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","794599424","none","0.433011699","0.198075499","row","gaussian32","reference","4000","2","single","0","plain","420013","0.180681","0.5625","4.63E-5","0.0609059","0.1142082","4","24","2846688","319964368","663897296","17805800","true","true","512000","138723","fb030bc811389f4cc0c40b053f280c25c0c5e58babb6d5eb761947efb8511783","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"2","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","807030784","none","0.4275637","0.1697143","row","gaussian32","reference","4000","4","single","0","plain","420013","0.1385717","0.640625","3.85E-5","0.0599318","0.0726884","4","142","2890392","345129648","668091056","17831584","true","true","512000","138723","fb030bc811389f4cc0c40b053f280c25c0c5e58babb6d5eb761947efb8511783","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"3","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","1592852480","none","1.734545001","1.400586701","row","gaussian32","reference","16000","1","single","0","plain","420013","1.4213461","2.328125","1.34099E-4","0.3986678","0.998820201","38","42","2800016","135094896","1067417536","62859784","true","true","2048000","508143","c018ba918dd11c1ccc931d39ab3e022f6e6f83d4657f65056eb1ed52244070ca","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"4","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","1923088384","none","1.1689255","0.893979999","row","gaussian32","reference","16000","2","single","0","plain","420013","0.9292477","2.546875","6.09E-5","0.339341001","0.5645964","38","22","2837992","309685224","1142785776","62759192","true","true","2048000","508143","c018ba918dd11c1ccc931d39ab3e022f6e6f83d4657f65056eb1ed52244070ca","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"5","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","1957449728","none","1.017674","0.5489435","row","gaussian32","reference","16000","4","single","0","plain","420013","0.571205801","2.3125","7.68E-5","0.238970301","0.311785399","31","39","2878384","954211664","1142955344","62586488","true","true","2048000","508143","c018ba918dd11c1ccc931d39ab3e022f6e6f83d4657f65056eb1ed52244070ca","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"6","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","773931008","none","0.7036589","0.4931512","row","positive32","reference","4000","1","single","0","plain","420013","0.494719999","0.53125","4.23E-5","0.2741319","0.214964299","12","28","2800320","54626880","662800960","17746976","true","true","512000","2331456","b1c80d02d980f561db28b8e8c75872a90bfe94527189f07f4dfe1c9226d272e5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"7","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","1078632448","none","0.5841056","0.3545653","row","positive32","reference","4000","2","single","0","plain","420013","0.3431246","1.0625","1.091E-4","0.217947899","0.1189614","10","17","2840168","55557576","663731656","17794832","true","true","512000","2331456","b1c80d02d980f561db28b8e8c75872a90bfe94527189f07f4dfe1c9226d272e5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"8","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","1180577792","none","0.562360201","0.2842553","row","positive32","reference","4000","4","single","0","plain","420013","0.283812899","1.71875","4.76E-5","0.191096799","0.086554801","12","23","2876096","75963744","667360608","17817960","true","true","512000","2331456","b1c80d02d980f561db28b8e8c75872a90bfe94527189f07f4dfe1c9226d272e5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"9","c5a09dc8933e60449a18cebeb2d1c31500043b44","1fc63e9d1dd6562c6a0beea93c565b6a3dffb21791d08f9ef916a719c54f6be3","WindowsPeakWorkingSet","2178535424","none","2.376539299","2.1055996","row","positive32","reference","16000","1","single","0","plain","420013","2.2259356","3.5","1.24999E-4","1.092104401","1.1080602","76","40","2797208","602079880","831823000","62922848","true","true","2048000","8547756","5035e463d4ef60e5c193ee9a16cdb83e0b25f5d78747aeb10b5695633354ccef","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
