SV,mode,family,rng,seed,draws,parameter,mean,error,mcse,ess,maxWeight,covered95,withinPointOnePosteriorSd,seconds,underflows
SV,backends,gamma,L64X128MixRandom,1009,2000,0,2.0219623071175747,-0.08590766605206124,0.0467023484353241,2.93653136555787,0.5085676172812056,true,false,0.0280637,0
SV,backends,gamma,L64X128MixRandom,1009,2000,1,1.9033687624940858,0.058639415569633924,0.033778588880486946,2.93653136555787,0.5085676172812056,true,false,0.0280637,0
SV,backends,gamma,Xoshiro256PlusPlus,1009,2000,0,2.06497415428516,-0.04289581888447591,0.07654232971713865,3.591208611579692,0.47079219215540463,true,false,0.0026414,0
SV,backends,gamma,Xoshiro256PlusPlus,1009,2000,1,1.922507221329877,0.07777787440542516,0.05409441359022353,3.591208611579692,0.47079219215540463,true,false,0.0026414,0
SV,backends,gamma,PCG_RXS_M_XS_64,1009,2000,0,2.061220103791536,-0.04664986937810012,0.06269501223554028,7.239226249427824,0.20218702794479115,true,false,0.0124323,0
SV,backends,gamma,PCG_RXS_M_XS_64,1009,2000,1,1.844544546748283,-1.8480017616884226E-4,0.0637776109157765,7.239226249427824,0.20218702794479115,true,true,0.0124323,0
SV,backends,gamma,MT19937,1009,2000,0,2.1333998074453886,0.025529834275752616,0.043926866096894855,6.545054207140224,0.23471825449061165,true,false,0.0029248,0
SV,backends,gamma,MT19937,1009,2000,1,1.8759748434821646,0.031245496557712693,0.04415597236188264,6.545054207140224,0.23471825449061165,true,false,0.0029248,0
SV,backends,gamma,Random,1009,2000,0,2.141762188821153,0.0338922156515169,0.04150212844726969,5.746780490927063,0.2750883004695388,true,false,0.001611,0
SV,backends,gamma,Random,1009,2000,1,1.81272298756238,-0.03200635936207186,0.045814169893160825,5.746780490927063,0.2750883004695388,true,false,0.001611,0
SV,backends,gamma,L64X128MixRandom,1009,20000,0,2.077484766374064,-0.030385206795572106,0.018848148862688072,45.93888327602837,0.04612626083694854,true,false,0.0085148,0
SV,backends,gamma,L64X128MixRandom,1009,20000,1,1.8764470319847537,0.031717685060301815,0.018527679898487682,45.93888327602837,0.04612626083694854,true,false,0.0085148,0
SV,backends,gamma,Xoshiro256PlusPlus,1009,20000,0,2.1148719935839178,0.007002020414281773,0.01944047098545914,47.420622192858715,0.03996596280253876,true,true,0.0072173,0
SV,backends,gamma,Xoshiro256PlusPlus,1009,20000,1,1.8268643235459396,-0.017865023378512257,0.0185632818163048,47.420622192858715,0.03996596280253876,true,true,0.0072173,0
SV,backends,gamma,PCG_RXS_M_XS_64,1009,20000,0,2.0966875877162576,-0.011182385453378352,0.01808406807561531,46.869061096879165,0.0369017575532599,true,true,0.0086522,0
SV,backends,gamma,PCG_RXS_M_XS_64,1009,20000,1,1.8427045906565276,-0.0020247562679243103,0.01871194337429443,46.869061096879165,0.0369017575532599,true,true,0.0086522,0
SV,backends,gamma,MT19937,1009,20000,0,2.1189786264676966,0.011108653298060656,0.02040409970288178,43.8754222417092,0.03984361578203354,true,true,0.0046258,0
SV,backends,gamma,MT19937,1009,20000,1,1.8396742646932884,-0.005055082231163466,0.02150495222687659,43.8754222417092,0.03984361578203354,true,true,0.0046258,0
SV,backends,gamma,Random,1009,20000,0,2.1114630121481905,0.0035930389785545636,0.02252673596109143,42.91437413670031,0.04601909617729774,true,true,0.0040902,0
SV,backends,gamma,Random,1009,20000,1,1.8578982469900847,0.01316890006563276,0.021255848674666063,42.91437413670031,0.04601909617729774,true,true,0.0040902,0
SV,backends,gamma,L64X128MixRandom,1009,200000,0,2.106688924702827,-0.0011810484668091092,0.006481753851235393,434.2967697532168,0.00453659922655102,true,true,0.0308274,0
SV,backends,gamma,L64X128MixRandom,1009,200000,1,1.8478637485650922,0.003134401640640272,0.00643256863554862,434.2967697532168,0.00453659922655102,true,true,0.0308274,0
SV,backends,gamma,Xoshiro256PlusPlus,1009,200000,0,2.101817033399001,-0.006052939770635035,0.006489623706560767,479.36041390081965,0.00427669059485754,true,true,0.0303242,0
