"highDimensional","dimension","target","sampler","round","seed","record","budgetPerChain","drawsPerChain","availableDraws","evaluations","warmupEvaluations","status","reason","query","truth","estimate","fullWidth","meanEss","covered","criteriaMet","failureReasons"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","75000","5722","22922","300000","10125","Ok","FixedBudget","cross","4.5","4.066854092317547","0.24827139904172243","1054.8716810558785","false","false","WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","75000","5722","22922","300000","10125","Ok","FixedBudget","event","0.10002850401899104","0.008563439356868228","NaN","163.53777847311102","false","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|UnavailableMcse"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","75000","5722","22922","300000","10125","Ok","FixedBudget","first","-1.5","-1.9491309489150268","0.19787026021964155","319.34983613632227","false","false","InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","75000","5722","22922","300000","10125","Ok","FixedBudget","firstSquared","4.75","4.248181920914856","0.2659755321717269","1649.4116097361232","false","true",""
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","75000","5722","22922","300000","10125","Ok","FixedBudget","last","-1.5","-1.9761623256944953","0.19498630535784062","347.17654745600237","false","false","InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","75000","5722","22922","300000","10125","Ok","FixedBudget","meanSquare","4.75","4.298806150704394","0.19408530309244884","535.6429234256974","false","false","WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","150000","11592","46588","600000","10125","Ok","FixedBudget","cross","4.5","4.1464984400726","0.6027279183473395","212.50120554614946","false","false","InvalidRHat|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","150000","11592","46588","600000","10125","Ok","FixedBudget","event","0.10002850401899104","0.027669944789510008","0.14822884789984322","34.09260467237726","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","150000","11592","46588","600000","10125","Ok","FixedBudget","first","-1.5","-1.8557204167273946","0.6835130440180557","54.34913514374667","false","false","InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","150000","11592","46588","600000","10125","Ok","FixedBudget","firstSquared","4.75","4.355672577106253","0.5580533316802433","431.1223576597448","false","false","InvalidRHat|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","fixed","150000","11592","46588","600000","10125","Ok","FixedBudget","last","-1.5","-1.875635022736237","0.7206587958770234","48.97989104846493","false","false","InvalidRHat|InsufficientMeanEss|WidthTooLarge"
