"research","target","sampler","round","seed","method","draws","query","truth","estimate","fullWidth","covered","criteriaMet","reason","meanEss","evaluationsFullRun","failureReasons"
"research","banana","figaro-block","0","141011","fixed","12000","event","0.045500263896358334","0.0420625","0.020352327329868095","true","true","FixedBudget","2581.709049042661","79898",""
"research","banana","figaro-block","0","141011","fixed","12000","x","0.0","-0.02173072960282746","0.10163991766145243","true","true","FixedBudget","2455.7268611158083","79898",""
"research","banana","figaro-block","0","141011","fixed","12000","xSquared","1.0","0.9563568389207681","0.15209020991747488","true","true","FixedBudget","2098.110441674714","79898",""
"research","banana","figaro-block","0","141011","fixed","12000","y","0.0","-0.029708762718631487","0.08037940852835392","true","true","FixedBudget","2229.059155024178","79898",""
"research","banana","figaro-block","0","141011","fixed","12000","ySquared","0.57","0.5435178673164799","0.161835867477575","true","true","FixedBudget","1476.8228441524063","79898",""
"research","banana","figaro-block","0","141011","stopped","8000","event","0.045500263896358334","0.04009375","0.022120586059982128","true","true","PrecisionReached","2087.4686505365635","79898",""
"research","banana","figaro-block","0","141011","stopped","8000","x","0.0","-8.089278753294904E-4","0.11597837358464648","true","true","PrecisionReached","1837.29879540641","79898",""
"research","banana","figaro-block","0","141011","stopped","8000","xSquared","1.0","0.931164480603883","0.16149751890947991","true","true","PrecisionReached","1748.6507646086397","79898",""
"research","banana","figaro-block","0","141011","stopped","8000","y","0.0","-0.03995089853439933","0.08648399364954612","true","true","PrecisionReached","1828.8561767378542","79898",""
"research","banana","figaro-block","0","141011","stopped","8000","ySquared","0.57","0.5169947560998783","0.14744439050689032","true","true","PrecisionReached","1477.8886197971294","79898",""
"research","banana","figaro-block","1","148930","fixed","12000","event","0.045500263896358334","0.0418125","0.020012949745182404","true","true","FixedBudget","2654.8355522133643","79926",""
"research","banana","figaro-block","1","148930","fixed","12000","x","0.0","-0.001072958890075082","0.10742749763313462","true","true","FixedBudget","2233.655100375953","79926",""
"research","banana","figaro-block","1","148930","fixed","12000","xSquared","1.0","0.9712797849075603","0.1428476018317678","true","true","FixedBudget","2279.171972121748","79926",""
"research","banana","figaro-block","1","148930","fixed","12000","y","0.0","-0.019031759397254933","0.07574318302196592","true","true","FixedBudget","2443.6752502407066","79926",""
"research","banana","figaro-block","1","148930","fixed","12000","ySquared","0.57","0.5285974781626807","0.11860377946625468","true","true","FixedBudget","2015.8522206180303","79926",""
"research","banana","figaro-block","1","148930","stopped","8000","event","0.045500263896358334","0.0446875","0.026774317272080305","true","true","PrecisionReached","1580.528862855644","79926",""
"research","banana","figaro-block","1","148930","stopped","8000","x","0.0","0.028720601950654956","0.13396934365973107","true","true","PrecisionReached","1456.265375998792","79926",""
"research","banana","figaro-block","1","148930","stopped","8000","xSquared","1.0","0.9856149431577411","0.18913099768793334","true","true","PrecisionReached","1357.7564610176544","79926",""
"research","banana","figaro-block","1","148930","stopped","8000","y","0.0","-0.014864023431172602","0.09711264214497566","true","true","PrecisionReached","1527.6344261716847","79926",""
"research","banana","figaro-block","1","148930","stopped","8000","ySquared","0.57","0.5430502060479311","0.16084524386127813","true","true","PrecisionReached","1227.6035674377704","79926",""
"research","banana","figaro-block","2","156849","fixed","12000","event","0.045500263896358334","0.050479166666666665","0.031289873715187294","true","true","FixedBudget","1299.308418734403","79801",""
"research","banana","figaro-block","2","156849","fixed","12000","x","0.0","-0.013979043590759854","0.13646309320110137","true","true","FixedBudget","1509.0873741881035","79801",""
"research","banana","figaro-block","2","156849","fixed","12000","xSquared","1.0","1.0590628915602003","0.2531036761228652","true","false","FixedBudget","1005.6632000658343","79801","WidthTooLarge"
"research","banana","figaro-block","2","156849","fixed","12000","y","0.0","0.02926367799532792","0.12842412850939897","true","false","FixedBudget","1049.422667999577","79801","WidthTooLarge"
"research","banana","figaro-block","2","156849","fixed","12000","ySquared","0.57","0.6529958492042309","0.36510271437563363","true","false","FixedBudget","639.0737730620847","79801","WidthTooLarge"
"research","banana","figaro-block","2","156849","stopped","12000","event","0.045500263896358334","0.050479166666666665","0.031289873715187294","true","true","MaxDrawsReached","1299.308418734403","79801",""
"research","banana","figaro-block","2","156849","stopped","12000","x","0.0","-0.013979043590759854","0.13646309320110137","true","true","MaxDrawsReached","1509.0873741881035","79801",""
"research","banana","figaro-block","2","156849","stopped","12000","xSquared","1.0","1.0590628915602003","0.2531036761228652","true","false","MaxDrawsReached","1005.6632000658343","79801","WidthTooLarge"
"research","banana","figaro-block","2","156849","stopped","12000","y","0.0","0.02926367799532792","0.12842412850939897","true","false","MaxDrawsReached","1049.422667999577","79801","WidthTooLarge"
"research","banana","figaro-block","2","156849","stopped","12000","ySquared","0.57","0.6529958492042309","0.36510271437563363","true","false","MaxDrawsReached","639.0737730620847","79801","WidthTooLarge"
"research","banana","figaro-block","3","164768","fixed","12000","event","0.045500263896358334","0.043166666666666687","0.02115468652352733","true","true","FixedBudget","2449.4852022005643","79675",""
"research","banana","figaro-block","3","164768","fixed","12000","x","0.0","0.00634358910309718","0.1049245163656002","true","true","FixedBudget","2343.830924493746","79675",""
"research","banana","figaro-block","3","164768","fixed","12000","xSquared","1.0","0.9722881859589929","0.1621242435632347","true","true","FixedBudget","1792.3105629747376","79675",""
"research","banana","figaro-block","3","164768","fixed","12000","y","0.0","-0.017292686569930993","0.08567131505297887","true","true","FixedBudget","1937.276966179129","79675",""
"research","banana","figaro-block","3","164768","fixed","12000","ySquared","0.57","0.5360455871758076","0.13686473480320074","true","true","FixedBudget","1590.4159150903554","79675",""
"research","banana","figaro-block","3","164768","stopped","8000","event","0.045500263896358334","0.04074999999999995","0.023132110945800713","true","true","PrecisionReached","1938.816067417835","79675",""
"research","banana","figaro-block","3","164768","stopped","8000","x","0.0","0.005968866730100331","0.12203342576859061","true","true","PrecisionReached","1699.3170846130618","79675",""
"research","banana","figaro-block","3","164768","stopped","8000","xSquared","1.0","0.9535435536694283","0.18090037613535764","true","true","PrecisionReached","1348.398070846164","79675",""
"research","banana","figaro-block","3","164768","stopped","8000","y","0.0","-0.02840723495352071","0.09669329343923688","true","true","PrecisionReached","1461.2576434759062","79675",""
"research","banana","figaro-block","3","164768","stopped","8000","ySquared","0.57","0.5155752525501707","0.11859328662526197","true","true","PrecisionReached","1626.7220303622682","79675",""
"research","banana","figaro-block","4","172687","fixed","12000","event","0.045500263896358334","0.043375","0.020445034778126956","true","true","FixedBudget","2634.5637094719723","80123",""
"research","banana","figaro-block","4","172687","fixed","12000","x","0.0","0.04806328596617243","0.09909527236491289","true","true","FixedBudget","2641.3499069091326","80123",""
