recordingSha256,kind,legacyGroup,group,detail,site,caller,truncated,count,value
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$1:39","none","false","45","466936528"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$5:63","none","false","35","476532432"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6$$anonfun$1:71","none","false","32","360210472"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6$$anonfun$1:71","none","true","40","123410352"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8:74","none","false","48","690806488"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:223","none","false","397","2548814120"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:223","none","true","222","1056948976"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:224","none","false","449","3515008016"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:224","none","true","244","951228200"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:256","none","false","258","1515381904"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:256","none","true","234","772608096"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.ess:270","none","false","3","11915256"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize$$anonfun$1:202","none","false","56","770589216"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize$$anonfun$1:202","none","true","165","646693064"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:181","none","false","82","608086912"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:183","none","false","116","1007197136"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:202","none","false","249","1835555008"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rhat:206","none","false","1","4189024"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rhat:207","none","false","1","1462064"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","none","false","39","382219688"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","none","true","19","65509584"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.sortedValues:125","none","false","67","760159448"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:114","none","false","91","872979360"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:114","none","true","216","634397624"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:40","none","false","39","610861752"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:44","none","false","26","248484520"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:69","none","false","7","41717832"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:184","none","false","34","93078240"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.sortedIndices:134","none","false","67","354261952"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.sortedIndices:135","none","false","113","670121784"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:225","none","false","57","850231088"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:225","none","true","2","16856016"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:202","none","false","5","78047000"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:202","none","true","1","520480"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:114","none","false","18","253559856"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:114","none","true","2","18157704"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split:114","none","false","1","215384"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4928","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:60","none","false","1","1517456"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4944","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","none","false","4","37998248"
"4949a94d5ea5984a653f3c0d63511565de1c58a2b92b4ca2ab1d29f012cdfdca","allocation","diagnostics","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4944","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","none","true","2","7325664"
