case,seed,query,reference,tolerance,mean,error,mcse,covered95,accurate,health,fit,pilotCalls,productionCalls,ess,seconds
gamma-original,1009,mean0,2.107869973169636,0.019674017055309332,2.109525426545137,0.0016554533755011036,0.002164215729715153,true,true,ChecksPassed,Fitted,10000,10000,6365.100238307694,0.211718
gamma-original,1009,mean1,1.844729346924452,0.019704680523149942,1.8427949174674703,-0.0019344294569816345,0.002088598617977846,true,true,ChecksPassed,Fitted,10000,10000,6365.100238307694,0.211718
gamma-original,8928,mean0,2.107869973169636,0.019674017055309332,2.10693780642311,-9.321667465260752E-4,0.0021232478897803895,true,true,ChecksPassed,Fitted,10000,10000,6884.652775952695,0.0435677
gamma-original,8928,mean1,1.844729346924452,0.019704680523149942,1.8462696989174292,0.0015403519929773068,0.0020674711167787876,true,true,ChecksPassed,Fitted,10000,10000,6884.652775952695,0.0435677
gamma-original,16847,mean0,2.107869973169636,0.019674017055309332,2.1074237677712286,-4.4620539840733997E-4,0.0020829049102228485,true,true,ChecksPassed,Fitted,10000,10000,6378.362413851932,0.0325202
gamma-original,16847,mean1,1.844729346924452,0.019704680523149942,1.8450858730493964,3.5652612494452285E-4,0.002077302818892231,true,true,ChecksPassed,Fitted,10000,10000,6378.362413851932,0.0325202
gamma-original,24766,mean0,2.107869973169636,0.019674017055309332,2.1057844634098135,-0.002085509759822468,0.0021040301783975925,true,true,ChecksPassed,Fitted,10000,10000,6599.622072201713,0.0384236
gamma-original,24766,mean1,1.844729346924452,0.019704680523149942,1.8457069757862408,9.776288617888707E-4,0.002185634902869134,true,true,ChecksPassed,Fitted,10000,10000,6599.622072201713,0.0384236
gamma-original,32685,mean0,2.107869973169636,0.019674017055309332,2.107635583617783,-2.3438955185284271E-4,0.0020803690677997687,true,true,ChecksPassed,Fitted,10000,10000,6462.511429335678,0.0347082
gamma-original,32685,mean1,1.844729346924452,0.019704680523149942,1.8452658321154147,5.364851909628321E-4,0.0022363101198440596,true,true,ChecksPassed,Fitted,10000,10000,6462.511429335678,0.0347082
gamma-original,40604,mean0,2.107869973169636,0.019674017055309332,2.1091080427972013,0.0012380696275653413,0.0021844066638420563,true,true,ChecksPassed,Fitted,10000,10000,6574.273081239809,0.0282942
gamma-original,40604,mean1,1.844729346924452,0.019704680523149942,1.8442047492922136,-5.245976322383328E-4,0.002075321115564358,true,true,ChecksPassed,Fitted,10000,10000,6574.273081239809,0.0282942
gamma-original,48523,mean0,2.107869973169636,0.019674017055309332,2.1115261217242796,0.003656148554643579,0.002080340948225856,true,true,ChecksPassed,Fitted,10000,10000,5833.837194808223,0.0267307
gamma-original,48523,mean1,1.844729346924452,0.019704680523149942,1.8409801273007511,-0.0037492196237007835,0.00206810974836278,true,true,ChecksPassed,Fitted,10000,10000,5833.837194808223,0.0267307
gamma-original,56442,mean0,2.107869973169636,0.019674017055309332,2.1085363681472513,6.663949776153366E-4,0.0021150121159615246,true,true,ChecksPassed,Fitted,10000,10000,6012.959576440561,0.0307989
gamma-original,56442,mean1,1.844729346924452,0.019704680523149942,1.8445509424825988,-1.7840444185313054E-4,0.00204605074488537,true,true,ChecksPassed,Fitted,10000,10000,6012.959576440561,0.0307989
gamma-original,64361,mean0,2.107869973169636,0.019674017055309332,2.107728985004674,-1.4098816496188604E-4,0.0020938728204712783,true,true,ChecksPassed,Fitted,10000,10000,5547.372687128318,0.0266082
gamma-original,64361,mean1,1.844729346924452,0.019704680523149942,1.8442221942196428,-5.071527048090552E-4,0.0021175370849723925,true,true,ChecksPassed,Fitted,10000,10000,5547.372687128318,0.0266082
gamma-original,72280,mean0,2.107869973169636,0.019674017055309332,2.1101834585533767,0.0023134853837407654,0.002050884663979384,true,true,ChecksPassed,Fitted,10000,10000,6746.502995990271,0.0310536
gamma-original,72280,mean1,1.844729346924452,0.019704680523149942,1.8420691016648212,-0.0026602452596307113,0.002031157473106203,true,true,ChecksPassed,Fitted,10000,10000,6746.502995990271,0.0310536
gamma-original,80199,mean0,2.107869973169636,0.019674017055309332,2.1059181897468844,-0.0019517834227515962,0.0021030267813179028,true,true,ChecksPassed,Fitted,10000,10000,6377.308400057508,0.0303003
gamma-original,80199,mean1,1.844729346924452,0.019704680523149942,1.8447081132453895,-2.123367906237128E-5,0.0020791948366793616,true,true,ChecksPassed,Fitted,10000,10000,6377.308400057508,0.0303003
gamma-original,88118,mean0,2.107869973169636,0.019674017055309332,2.1098287448979556,0.001958771728319597,0.002104711660698971,true,true,ChecksPassed,Fitted,10000,10000,6011.736167356041,0.0275258
gamma-original,88118,mean1,1.844729346924452,0.019704680523149942,1.8439036213617774,-8.25725562674462E-4,0.002087219881720723,true,true,ChecksPassed,Fitted,10000,10000,6011.736167356041,0.0275258
gamma-original,96037,mean0,2.107869973169636,0.019674017055309332,2.106443292308332,-0.0014266808613041526,0.002075518218433875,true,true,ChecksPassed,Fitted,10000,10000,6504.539738109233,0.0324303
gamma-original,96037,mean1,1.844729346924452,0.019704680523149942,1.8456700543554685,9.407074310165964E-4,0.0020369955077022307,true,true,ChecksPassed,Fitted,10000,10000,6504.539738109233,0.0324303
gamma-original,103956,mean0,2.107869973169636,0.019674017055309332,2.108385106835654,5.151336660178529E-4,0.0020716430612661655,true,true,ChecksPassed,Fitted,10000,10000,5666.38885303382,0.0345784
gamma-original,103956,mean1,1.844729346924452,0.019704680523149942,1.8426764154786899,-0.0020529314457620185,0.0020974193325721214,true,true,ChecksPassed,Fitted,10000,10000,5666.38885303382,0.0345784
gamma-original,111875,mean0,2.107869973169636,0.019674017055309332,2.1060016655740905,-0.0018683075955454598,0.0021424202336614248,true,true,ChecksPassed,Fitted,10000,10000,5574.546088064665,0.0353004
gamma-original,111875,mean1,1.844729346924452,0.019704680523149942,1.8474214471940782,0.0026921002696262963,0.002095719697503499,true,true,ChecksPassed,Fitted,10000,10000,5574.546088064665,0.0353004
gamma-original,119794,mean0,2.107869973169636,0.019674017055309332,2.1080035199340945,1.3354676445853642E-4,0.0021075782186310544,true,true,ChecksPassed,Fitted,10000,10000,6284.999271225953,0.0221174
gamma-original,119794,mean1,1.844729346924452,0.019704680523149942,1.8460692029098786,0.0013398559854267411,0.002062865652426685,true,true,ChecksPassed,Fitted,10000,10000,6284.999271225953,0.0221174
gamma-original,127713,mean0,2.107869973169636,0.019674017055309332,2.112848973151081,0.004978999981445131,0.0022560973413161284,false,true,Danger,Fitted,10000,10000,6519.874583887145,0.0253457
gamma-original,127713,mean1,1.844729346924452,0.019704680523149942,1.8394729913343304,-0.0052563555901214976,0.0026225756216553143,false,true,Danger,Fitted,10000,10000,6519.874583887145,0.0253457
gamma-original,135632,mean0,2.107869973169636,0.019674017055309332,2.106436749988687,-0.0014332231809488505,0.0020543697536264506,true,true,ChecksPassed,Fitted,10000,10000,6828.15546862634,0.0202822
gamma-original,135632,mean1,1.844729346924452,0.019704680523149942,1.84482213811014,9.2791185688057E-5,0.0021977187878495876,true,true,ChecksPassed,Fitted,10000,10000,6828.15546862634,0.0202822
gamma-original,143551,mean0,2.107869973169636,0.019674017055309332,2.108762746850795,8.927736811590314E-4,0.002148484209189505,true,true,ChecksPassed,Fitted,10000,10000,5931.192551235534,0.0196715
gamma-original,143551,mean1,1.844729346924452,0.019704680523149942,1.8431134661634831,-0.0016158807609687464,0.0020790232776064584,true,true,ChecksPassed,Fitted,10000,10000,5931.192551235534,0.0196715
gamma-original,151470,mean0,2.107869973169636,0.019674017055309332,2.1082782278272263,4.082546575903123E-4,0.0020698809136654884,true,true,ChecksPassed,Fitted,10000,10000,6217.395348045756,0.0198956
gamma-original,151470,mean1,1.844729346924452,0.019704680523149942,1.8434380312112206,-0.001291315713231267,0.0020667996990418186,true,true,ChecksPassed,Fitted,10000,10000,6217.395348045756,0.0198956
gamma-original,159389,mean0,2.107869973169636,0.019674017055309332,2.107861535714278,-8.437455357945822E-6,0.0020697052479246416,true,true,ChecksPassed,Fitted,10000,10000,6960.766635543171,0.0160809
gamma-original,159389,mean1,1.844729346924452,0.019704680523149942,1.8442856841612412,-4.4366276321072817E-4,0.0021825855044210972,true,true,ChecksPassed,Fitted,10000,10000,6960.766635543171,0.0160809
gamma-original,167308,mean0,2.107869973169636,0.019674017055309332,2.1112101869694895,0.0033402137998534975,0.002145970634566221,true,true,ChecksPassed,Fitted,10000,10000,5707.631808863153,0.0165739
gamma-original,167308,mean1,1.844729346924452,0.019704680523149942,1.8425795279757258,-0.0021498189487261232,0.002128963305947631,true,true,ChecksPassed,Fitted,10000,10000,5707.631808863153,0.0165739
gamma-original,175227,mean0,2.107869973169636,0.019674017055309332,2.107326783116108,-5.431900535279865E-4,0.002081347173400629,true,true,ChecksPassed,Fitted,10000,10000,6567.068211029425,0.0159302
gamma-original,175227,mean1,1.844729346924452,0.019704680523149942,1.8454545240620237,7.251771375718086E-4,0.0021558379136539753,true,true,ChecksPassed,Fitted,10000,10000,6567.068211029425,0.0159302
gamma-original,183146,mean0,2.107869973169636,0.019674017055309332,2.1075891408208696,-2.808323487664133E-4,0.0021185712679792647,true,true,ChecksPassed,Fitted,10000,10000,6439.020515026147,0.016941
gamma-original,183146,mean1,1.844729346924452,0.019704680523149942,1.8446897350486269,-3.961187582501857E-5,0.0021329077824317373,true,true,ChecksPassed,Fitted,10000,10000,6439.020515026147,0.016941
gamma-original,191065,mean0,2.107869973169636,0.019674017055309332,2.111270485663035,0.0034005124933988995,0.00211529431779579,true,true,ChecksPassed,Fitted,10000,10000,6003.096615925819,0.0176048
gamma-original,191065,mean1,1.844729346924452,0.019704680523149942,1.842328126007525,-0.0024012209169268495,0.0020655675974235828,true,true,ChecksPassed,Fitted,10000,10000,6003.096615925819,0.0176048
gamma-original,198984,mean0,2.107869973169636,0.019674017055309332,2.1068653819105165,-0.0010045912591194472,0.002146972328607325,true,true,ChecksPassed,Fitted,10000,10000,7157.074914871919,0.0163631
gamma-original,198984,mean1,1.844729346924452,0.019704680523149942,1.8472518456129983,0.0025224986885463707,0.0022974254415735126,true,true,ChecksPassed,Fitted,10000,10000,7157.074914871919,0.0163631
gamma-original,206903,mean0,2.107869973169636,0.019674017055309332,2.111869409533558,0.003999436363922193,0.0020433396829409095,true,true,ChecksPassed,Fitted,10000,10000,6231.492119138432,0.0171602
gamma-original,206903,mean1,1.844729346924452,0.019704680523149942,1.8418524562253253,-0.0028768906991265553,0.0020970632233183258,true,true,ChecksPassed,Fitted,10000,10000,6231.492119138432,0.0171602
gamma-original,214822,mean0,2.107869973169636,0.019674017055309332,2.1076938358610517,-1.7613730858423438E-4,0.0020481298494088,true,true,ChecksPassed,Fitted,10000,10000,6556.281973822533,0.016671
gamma-original,214822,mean1,1.844729346924452,0.019704680523149942,1.8451275580935709,3.9821116911897825E-4,0.0021021414899262065,true,true,ChecksPassed,Fitted,10000,10000,6556.281973822533,0.016671
gamma-original,222741,mean0,2.107869973169636,0.019674017055309332,2.104735614988513,-0.0031343581811231758,0.0020708660010370695,true,true,ChecksPassed,Fitted,10000,10000,5971.178327975117,0.0158465
