case,seed,method,status,truth,estimate,pilotCalls,productionCalls,componentCalls,seconds
common,95000,prior,Completed,0.5,0.5044166666666673,0,12000,0,0.007844
common,95000,single,Fitted,0.5,0.49536908917124034,1000,11000,0,0.0096435
common,95000,weighted,Fitted,0.5,0.4989732451542381,1000,11000,92560,0.0524978
common,95000,supplied,Completed,0.5,0.5009166666666679,0,12000,0,0.010084
common,95001,single,Fitted,0.5,0.49689012251013437,1000,11000,0,0.0059482
common,95001,weighted,Fitted,0.5,0.4996662564224977,1000,11000,15776,0.0113966
common,95001,supplied,Completed,0.5,0.49733333333333357,0,12000,0,0.0052665
common,95001,prior,Completed,0.5,0.49716666666666676,0,12000,0,0.0037962
common,95002,weighted,MixtureFitFailure,0.5,NaN,1000,0,13052,0.0067619
common,95002,supplied,Completed,0.5,0.49616666666666653,0,12000,0,0.0051947
common,95002,prior,Completed,0.5,0.49800000000000005,0,12000,0,0.0033238
common,95002,single,Fitted,0.5,0.5013562767954816,1000,11000,0,0.0066203
common,95003,supplied,Completed,0.5,0.5047500000000003,0,12000,0,0.0051025
common,95003,prior,Completed,0.5,0.5045833333333339,0,12000,0,0.0033423
common,95003,single,Fitted,0.5,0.5010252386037853,1000,11000,0,0.0054017
common,95003,weighted,Fitted,0.5,0.494103329289103,1000,11000,15168,0.0094909
common,95004,prior,Completed,0.5,0.49975000000000075,0,12000,0,0.0032697
common,95004,single,Fitted,0.5,0.50059943622936,1000,11000,0,0.0051423
common,95004,weighted,MixtureFitFailure,0.5,NaN,1000,0,32760,0.0066227
common,95004,supplied,Completed,0.5,0.49933333333333413,0,12000,0,0.0043759
common,95005,single,Fitted,0.5,0.5046154445348435,1000,11000,0,0.0049647
common,95005,weighted,Fitted,0.5,0.4995639485501427,1000,11000,90610,0.0235973
common,95005,supplied,Completed,0.5,0.5005,0,12000,0,0.0044051
common,95005,prior,Completed,0.5,0.5040833333333333,0,12000,0,0.0033365
common,95006,weighted,Fitted,0.5,0.4997633976883732,1000,11000,22800,0.0104506
common,95006,supplied,Completed,0.5,0.49883333333333413,0,12000,0,0.0044367
common,95006,prior,Completed,0.5,0.5015000000000003,0,12000,0,0.0032293
common,95006,single,Fitted,0.5,0.49861832255606653,1000,11000,0,0.0050881
common,95007,supplied,Completed,0.5,0.49508333333333365,0,12000,0,0.0047969
common,95007,prior,Completed,0.5,0.501083333333334,0,12000,0,0.0030312
common,95007,single,Fitted,0.5,0.4981234420490964,1000,11000,0,0.0052981
common,95007,weighted,MixtureFitFailure,0.5,NaN,1000,0,30318,0.0061585
common,95008,prior,Completed,0.5,0.5047500000000003,0,12000,0,0.0032822
common,95008,single,Fitted,0.5,0.4966839696826542,1000,11000,0,0.0052203
common,95008,weighted,Fitted,0.5,0.5002438125783347,1000,11000,26298,0.0106718
common,95008,supplied,Completed,0.5,0.5025000000000015,0,12000,0,0.004532
common,95009,single,Fitted,0.5,0.499156349688862,1000,11000,0,0.006927
common,95009,weighted,Fitted,0.5,0.4995992641014876,1000,11000,26992,0.0110815
common,95009,supplied,Completed,0.5,0.4958333333333344,0,12000,0,0.0043798
common,95009,prior,Completed,0.5,0.500916666666667,0,12000,0,0.0030628
common,95010,weighted,Fitted,0.5,0.5074524075139405,1000,11000,15120,0.0088937
common,95010,supplied,Completed,0.5,0.4984166666666675,0,12000,0,0.0043743
common,95010,prior,Completed,0.5,0.502833333333334,0,12000,0,0.0031137
common,95010,single,Fitted,0.5,0.5009326357351046,1000,11000,0,0.0046928
common,95011,supplied,Completed,0.5,0.49783333333333313,0,12000,0,0.0046718
common,95011,prior,Completed,0.5,0.5017500000000004,0,12000,0,0.0029907
common,95011,single,Fitted,0.5,0.5023021219259551,1000,11000,0,0.0050879
common,95011,weighted,MixtureFitFailure,0.5,NaN,1000,0,46010,0.0081814
common,95012,prior,Completed,0.5,0.49908333333333404,0,12000,0,0.0028921
common,95012,single,Fitted,0.5,0.5043470771832324,1000,11000,0,0.0050777
common,95012,weighted,Fitted,0.5,0.4988927307597183,1000,11000,24048,0.0101316
common,95012,supplied,Completed,0.5,0.5015000000000012,0,12000,0,0.0046693
common,95013,single,Fitted,0.5,0.5010709404055768,1000,11000,0,0.0067035
common,95013,weighted,Fitted,0.5,0.5012608912391269,1000,11000,22044,0.0103838
common,95013,supplied,Completed,0.5,0.5047500000000003,0,12000,0,0.0043143
common,95013,prior,Completed,0.5,0.4960000000000007,0,12000,0,0.0029834
common,95014,weighted,MixtureFitFailure,0.5,NaN,1000,0,23952,0.004901
common,95014,supplied,Completed,0.5,0.5058333333333347,0,12000,0,0.0043369
common,95014,prior,Completed,0.5,0.4975000000000005,0,12000,0,0.0030079
common,95014,single,Fitted,0.5,0.4972122676369463,1000,11000,0,0.0045351
common,95015,supplied,Completed,0.5,0.495000000000001,0,12000,0,0.0049465
common,95015,prior,Completed,0.5,0.4924166666666672,0,12000,0,0.002989
common,95015,single,Fitted,0.5,0.5032179374330187,1000,11000,0,0.0047088
common,95015,weighted,Fitted,0.5,0.5017959177067608,1000,11000,22748,0.010339
common,95016,prior,Completed,0.5,0.49991666666666673,0,12000,0,0.0030597
common,95016,single,Fitted,0.5,0.5006801039678829,1000,11000,0,0.004581
common,95016,weighted,Fitted,0.5,0.4982400569622584,1000,11000,53136,0.0147371
common,95016,supplied,Completed,0.5,0.49408333333333393,0,12000,0,0.0043962
common,95017,single,Fitted,0.5,0.4929970625896942,1000,11000,0,0.0068824
