case,seed,method,status,truth,estimate,pilotCalls,productionCalls,componentCalls,seconds
common,95000,prior,Completed,0.5,0.5044166666666673,0,12000,0,0.0096279
common,95000,single,Fitted,0.5,0.49536908917124034,1000,11000,0,0.0123787
common,95000,weighted,Fitted,0.5,0.4989732451542381,1000,11000,92560,0.0655734
common,95000,supplied,Completed,0.5,0.5009166666666679,0,12000,0,0.0111241
common,95001,single,Fitted,0.5,0.49689012251013437,1000,11000,0,0.0107276
common,95001,weighted,Fitted,0.5,0.4996662564224977,1000,11000,15776,0.0120418
common,95001,supplied,Completed,0.5,0.49733333333333357,0,12000,0,0.0058286
common,95001,prior,Completed,0.5,0.49716666666666676,0,12000,0,0.0034025
common,95002,weighted,MixtureFitFailure,0.5,NaN,1000,0,13052,0.0072908
common,95002,supplied,Completed,0.5,0.49616666666666653,0,12000,0,0.0062566
common,95002,prior,Completed,0.5,0.49800000000000005,0,12000,0,0.0036722
common,95002,single,Fitted,0.5,0.5013562767954816,1000,11000,0,0.0063465
common,95003,supplied,Completed,0.5,0.5047500000000003,0,12000,0,0.0062821
common,95003,prior,Completed,0.5,0.5045833333333339,0,12000,0,0.0034181
common,95003,single,Fitted,0.5,0.5010252386037853,1000,11000,0,0.0057974
common,95003,weighted,Fitted,0.5,0.494103329289103,1000,11000,15168,0.010047
common,95004,prior,Completed,0.5,0.49975000000000075,0,12000,0,0.0037254
common,95004,single,Fitted,0.5,0.50059943622936,1000,11000,0,0.0055942
common,95004,weighted,MixtureFitFailure,0.5,NaN,1000,0,32760,0.0067283
common,95004,supplied,Completed,0.5,0.49933333333333413,0,12000,0,0.0050274
common,95005,single,Fitted,0.5,0.5046154445348435,1000,11000,0,0.0051839
common,95005,weighted,Fitted,0.5,0.4995639485501427,1000,11000,90610,0.0240245
common,95005,supplied,Completed,0.5,0.5005,0,12000,0,0.0047084
common,95005,prior,Completed,0.5,0.5040833333333333,0,12000,0,0.0029759
common,95006,weighted,Fitted,0.5,0.4997633976883732,1000,11000,22800,0.0097364
common,95006,supplied,Completed,0.5,0.49883333333333413,0,12000,0,0.0045801
common,95006,prior,Completed,0.5,0.5015000000000003,0,12000,0,0.0031269
common,95006,single,Fitted,0.5,0.49861832255606653,1000,11000,0,0.0052472
common,95007,supplied,Completed,0.5,0.49508333333333365,0,12000,0,0.0045617
common,95007,prior,Completed,0.5,0.501083333333334,0,12000,0,0.0030151
common,95007,single,Fitted,0.5,0.4981234420490964,1000,11000,0,0.0051586
common,95007,weighted,MixtureFitFailure,0.5,NaN,1000,0,30318,0.0054774
common,95008,prior,Completed,0.5,0.5047500000000003,0,12000,0,0.0030181
common,95008,single,Fitted,0.5,0.4966839696826542,1000,11000,0,0.0047626
common,95008,weighted,Fitted,0.5,0.5002438125783347,1000,11000,26298,0.0100632
common,95008,supplied,Completed,0.5,0.5025000000000015,0,12000,0,0.0044811
common,95009,single,Fitted,0.5,0.499156349688862,1000,11000,0,0.0052745
common,95009,weighted,Fitted,0.5,0.4995992641014876,1000,11000,26992,0.0124946
common,95009,supplied,Completed,0.5,0.4958333333333344,0,12000,0,0.0052311
common,95009,prior,Completed,0.5,0.500916666666667,0,12000,0,0.0029673
common,95010,weighted,Fitted,0.5,0.5074524075139405,1000,11000,15120,0.0085752
common,95010,supplied,Completed,0.5,0.4984166666666675,0,12000,0,0.004903
common,95010,prior,Completed,0.5,0.502833333333334,0,12000,0,0.0031359
common,95010,single,Fitted,0.5,0.5009326357351046,1000,11000,0,0.0047371
common,95011,supplied,Completed,0.5,0.49783333333333313,0,12000,0,0.0046934
common,95011,prior,Completed,0.5,0.5017500000000004,0,12000,0,0.0032287
common,95011,single,Fitted,0.5,0.5023021219259551,1000,11000,0,0.0048276
common,95011,weighted,MixtureFitFailure,0.5,NaN,1000,0,46010,0.0072883
common,95012,prior,Completed,0.5,0.49908333333333404,0,12000,0,0.0032206
common,95012,single,Fitted,0.5,0.5043470771832324,1000,11000,0,0.0048476
common,95012,weighted,Fitted,0.5,0.4988927307597183,1000,11000,24048,0.0095235
common,95012,supplied,Completed,0.5,0.5015000000000012,0,12000,0,0.0049839
common,95013,single,Fitted,0.5,0.5010709404055768,1000,11000,0,0.0048257
common,95013,weighted,Fitted,0.5,0.5012608912391269,1000,11000,22044,0.00956
common,95013,supplied,Completed,0.5,0.5047500000000003,0,12000,0,0.0067195
common,95013,prior,Completed,0.5,0.4960000000000007,0,12000,0,0.0031703
common,95014,weighted,MixtureFitFailure,0.5,NaN,1000,0,23952,0.0039607
common,95014,supplied,Completed,0.5,0.5058333333333347,0,12000,0,0.0048326
common,95014,prior,Completed,0.5,0.4975000000000005,0,12000,0,0.0031795
common,95014,single,Fitted,0.5,0.4972122676369463,1000,11000,0,0.0047573
common,95015,supplied,Completed,0.5,0.495000000000001,0,12000,0,0.0045091
common,95015,prior,Completed,0.5,0.4924166666666672,0,12000,0,0.0035467
common,95015,single,Fitted,0.5,0.5032179374330187,1000,11000,0,0.004901
common,95015,weighted,Fitted,0.5,0.5017959177067608,1000,11000,22748,0.0096541
common,95016,prior,Completed,0.5,0.49991666666666673,0,12000,0,0.0030445
common,95016,single,Fitted,0.5,0.5006801039678829,1000,11000,0,0.0046791
common,95016,weighted,Fitted,0.5,0.4982400569622584,1000,11000,53136,0.0140643
common,95016,supplied,Completed,0.5,0.49408333333333393,0,12000,0,0.0047459
common,95017,single,Fitted,0.5,0.4929970625896942,1000,11000,0,0.004801
common,95017,weighted,Fitted,0.5,0.49376749509447476,1000,11000,81008,0.0204905
common,95017,supplied,Completed,0.5,0.4935833333333346,0,12000,0,0.0045464
common,95017,prior,Completed,0.5,0.49475000000000074,0,12000,0,0.0029559
common,95018,weighted,Fitted,0.5,0.5009406823926538,1000,11000,18050,0.0089009
common,95018,supplied,Completed,0.5,0.5050833333333339,0,12000,0,0.0044711
common,95018,prior,Completed,0.5,0.4922500000000001,0,12000,0,0.0029023
common,95018,single,Fitted,0.5,0.4952415299080275,1000,11000,0,0.0048085
common,95019,supplied,Completed,0.5,0.503416666666667,0,12000,0,0.0052372
common,95019,prior,Completed,0.5,0.5046666666666669,0,12000,0,0.0029461
common,95019,single,Fitted,0.5,0.4978285545314057,1000,11000,0,0.0046892
common,95019,weighted,Fitted,0.5,0.4912910537465128,1000,11000,32384,0.0110191
common,95020,prior,Completed,0.5,0.4963333333333339,0,12000,0,0.0029253
common,95020,single,Fitted,0.5,0.4962085575672668,1000,11000,0,0.0047948
common,95020,weighted,Fitted,0.5,0.5043451530122881,1000,11000,35928,0.0112277
common,95020,supplied,Completed,0.5,0.4960000000000007,0,12000,0,0.0046253
common,95021,single,Fitted,0.5,0.5023085828254271,1000,11000,0,0.0050128
common,95021,weighted,Fitted,0.5,0.4991480111964776,1000,11000,24900,0.0118557
common,95021,supplied,Completed,0.5,0.4967500000000002,0,12000,0,0.0052915
common,95021,prior,Completed,0.5,0.49800000000000005,0,12000,0,0.0029364
common,95022,weighted,MixtureFitFailure,0.5,NaN,1000,0,12558,0.0026188
common,95022,supplied,Completed,0.5,0.4975833333333334,0,12000,0,0.0047999
common,95022,prior,Completed,0.5,0.49325000000000047,0,12000,0,0.0030969
common,95022,single,Fitted,0.5,0.4992199404500897,1000,11000,0,0.0051771
common,95023,supplied,Completed,0.5,0.4977500000000007,0,12000,0,0.0045398
common,95023,prior,Completed,0.5,0.5019166666666667,0,12000,0,0.0029469
common,95023,single,Fitted,0.5,0.5017632283647505,1000,11000,0,0.0049332
common,95023,weighted,MixtureFitFailure,0.5,NaN,1000,0,19266,0.0035944
common,95024,prior,Completed,0.5,0.49983333333333324,0,12000,0,0.0030742
common,95024,single,Fitted,0.5,0.4993202751701158,1000,11000,0,0.0046948
common,95024,weighted,Fitted,0.5,0.49778024269807236,1000,11000,31080,0.0106132
common,95024,supplied,Completed,0.5,0.4995000000000007,0,12000,0,0.0045408
common,95025,single,Fitted,0.5,0.49809197183515685,1000,11000,0,0.0046263
common,95025,weighted,Fitted,0.5,0.501343876079763,1000,11000,25488,0.010144
common,95025,supplied,Completed,0.5,0.5000833333333331,0,12000,0,0.0045186
common,95025,prior,Completed,0.5,0.5067500000000004,0,12000,0,0.0028762
common,95026,weighted,Fitted,0.5,0.5061901402975274,1000,11000,41410,0.014162
common,95026,supplied,Completed,0.5,0.5049166666666671,0,12000,0,0.004929
common,95026,prior,Completed,0.5,0.4981666666666668,0,12000,0,0.002997
common,95026,single,Fitted,0.5,0.5061777516667513,1000,11000,0,0.0046111
common,95027,supplied,Completed,0.5,0.5091666666666677,0,12000,0,0.0044583
common,95027,prior,Completed,0.5,0.5065000000000005,0,12000,0,0.0031162
common,95027,single,Fitted,0.5,0.4955945000716264,1000,11000,0,0.0047203
common,95027,weighted,Fitted,0.5,0.5003017953152485,1000,11000,28826,0.010391
common,95028,prior,Completed,0.5,0.49858333333333327,0,12000,0,0.0032064
common,95028,single,Fitted,0.5,0.5000957944123582,1000,11000,0,0.0045654
common,95028,weighted,MixtureFitFailure,0.5,NaN,1000,0,45672,0.0070062
common,95028,supplied,Completed,0.5,0.5097499999999998,0,12000,0,0.0048033
common,95029,single,Fitted,0.5,0.5002006559043785,1000,11000,0,0.0046073
common,95029,weighted,Fitted,0.5,0.5036096686770105,1000,11000,19646,0.0086705
common,95029,supplied,Completed,0.5,0.4958333333333344,0,12000,0,0.0045976
common,95029,prior,Completed,0.5,0.49608333333333393,0,12000,0,0.0029722
one_tail,95000,prior,Completed,0.0013498980316300946,0.0010000000000000002,0,12000,0,0.0028765
one_tail,95000,single,Fitted,0.0013498980316300946,0.0013679285575612667,3000,9000,0,0.0077675
one_tail,95000,weighted,Fitted,0.0013498980316300946,0.001349227411828585,3000,9000,12984,0.0090311
one_tail,95000,supplied,Completed,0.0013498980316300946,0.001375101601052716,0,12000,0,0.0046754
one_tail,95001,single,Fitted,0.0013498980316300946,0.001322642443791429,3000,9000,0,0.0051284
one_tail,95001,weighted,Fitted,0.0013498980316300946,0.0013218536006563341,3000,9000,8968,0.0079223
one_tail,95001,supplied,Completed,0.0013498980316300946,0.001312746474565716,0,12000,0,0.0044879
one_tail,95001,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0030161
one_tail,95002,weighted,MixtureFitFailure,0.0013498980316300946,NaN,1000,0,200,5.452E-4
one_tail,95002,supplied,Completed,0.0013498980316300946,0.0013430142376574879,0,12000,0,0.004521
one_tail,95002,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0031268
one_tail,95002,single,Fitted,0.0013498980316300946,0.0013450402903200415,3000,9000,0,0.0052241
one_tail,95003,supplied,Completed,0.0013498980316300946,0.0013797178493917574,0,12000,0,0.0047073
one_tail,95003,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0029146
one_tail,95003,single,Fitted,0.0013498980316300946,0.0013510263316585016,3000,9000,0,0.0049401
one_tail,95003,weighted,Fitted,0.0013498980316300946,0.0013299294092481288,3000,9000,9400,0.0085386
one_tail,95004,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0031053
one_tail,95004,single,Fitted,0.0013498980316300946,0.001367185407126761,3000,9000,0,0.0063669
one_tail,95004,weighted,Fitted,0.0013498980316300946,0.00133684524228003,3000,9000,12530,0.0104848
one_tail,95004,supplied,Completed,0.0013498980316300946,0.0013613466001940677,0,12000,0,0.0079559
one_tail,95005,single,Fitted,0.0013498980316300946,0.0013125514419937525,3000,9000,0,0.006749
one_tail,95005,weighted,Fitted,0.0013498980316300946,0.0013328983692069223,3000,9000,11796,0.0094467
one_tail,95005,supplied,Completed,0.0013498980316300946,0.0013163345509946986,0,12000,0,0.0049645
one_tail,95005,prior,Completed,0.0013498980316300946,0.0012500000000000013,0,12000,0,0.0032358
one_tail,95006,weighted,Fitted,0.0013498980316300946,0.001390506247050595,3000,9000,9672,0.0080776
one_tail,95006,supplied,Completed,0.0013498980316300946,0.0013343046939869525,0,12000,0,0.0053247
one_tail,95006,prior,Completed,0.0013498980316300946,0.0015000000000000007,0,12000,0,0.0029118
one_tail,95006,single,Fitted,0.0013498980316300946,0.0013639071542272665,3000,9000,0,0.00501
one_tail,95007,supplied,Completed,0.0013498980316300946,0.0013478751068027879,0,12000,0,0.0045573
one_tail,95007,prior,Completed,0.0013498980316300946,0.0010833333333333335,0,12000,0,0.0031767
one_tail,95007,single,Fitted,0.0013498980316300946,0.0013419256365084522,3000,9000,0,0.0049197
one_tail,95007,weighted,Fitted,0.0013498980316300946,0.001338926409627494,3000,9000,14736,0.0096015
one_tail,95008,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0032328
one_tail,95008,single,Fitted,0.0013498980316300946,0.0013402563603715633,3000,9000,0,0.0050423
one_tail,95008,weighted,Fitted,0.0013498980316300946,0.0013389250985362865,3000,9000,9644,0.0082588
one_tail,95008,supplied,Completed,0.0013498980316300946,0.0013421558867232788,0,12000,0,0.0051754
one_tail,95009,single,Fitted,0.0013498980316300946,0.0013551197529775602,3000,9000,0,0.0052228
one_tail,95009,weighted,Fitted,0.0013498980316300946,0.0013626447493072502,3000,9000,10278,0.0112024
one_tail,95009,supplied,Completed,0.0013498980316300946,0.001293025697189739,0,12000,0,0.0047682
one_tail,95009,prior,Completed,0.0013498980316300946,8.33333333333334E-4,0,12000,0,0.0029013
one_tail,95010,weighted,Fitted,0.0013498980316300946,0.0013809571351199362,3000,9000,9168,0.0079434
one_tail,95010,supplied,Completed,0.0013498980316300946,0.0013546652384042028,0,12000,0,0.004535
one_tail,95010,prior,Completed,0.0013498980316300946,0.0019166666666666679,0,12000,0,0.0028417
one_tail,95010,single,Fitted,0.0013498980316300946,0.0013811706619456135,3000,9000,0,0.0049827
one_tail,95011,supplied,Completed,0.0013498980316300946,0.0013310202368301564,0,12000,0,0.0047218
one_tail,95011,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0029825
one_tail,95011,single,Fitted,0.0013498980316300946,0.0013456584174491766,3000,9000,0,0.0049202
